"symbol1" "symbol2" "BP"
"ACTN4" "TSC2" 0.423
"ACTN4" "VEGFB" 0.448
"ACTN4" "VWF" 0.38
"ACTN4" "SLC9A3R2" 0.481
"ACTN4" "ARPC1B" 0.249
"ACTN4" "TRIM3" 0.248
"ACTN4" "RPL13A" 0.329
"ACTN4" "TUBB" 0.48
"ADAR" "EGR1" 0.382
"ADAR" "IFIT2" 0.472
"ADAR" "IRF2" 0.659
"ADAR" "IRF3" 0.492
"ADAR" "IRF7" 0.545
"ADAR" "NONO" 0.417
"ADAR" "NPM1" 0.383
"ADAR" "PCBP1" 0.497
"ADAR" "PSMB4" 0.207
"ADAR" "RPL11" 0.356
"ADAR" "RPS2" 0.349
"ADAR" "RPL35" 0.291
"ADCY1" "FSHR" 0.443
"ADCY1" "GNAI2" 0.565
"ADCY1" "GNB2" 0.435
"ADCY1" "GRM4" 0.517
"ADCY1" "HRAS" 0.402
"ADCY1" "HTR4" 0.526
"ADCY1" "NPY" 0.399
"ADCY1" "SCTR" 0.446
"ADCY1" "CXCR4" 0.443
"ADCY1" "ADM2" 0.466
"ADCY1" "NPW" 0.423
"AP2A1" "ARRB2" 0.414
"AP2A1" "CAMK2A" 0.339
"AP2A1" "CD22" 0.339
"AP2A1" "CRK" 0.42
"AP2A1" "CSNK2B" 0.353
"AP2A1" "DNM2" 0.584
"AP2A1" "EEF2" 0.287
"AP2A1" "EIF5A" 0.341
"AP2A1" "HLA-DRB1" 0.264
"AP2A1" "PPP3CC" 0.075
"AP2A1" "RAB5B" 0.484
"AP2A1" "RAB5C" 0.426
"AP2A1" "RPN1" 0.245
"AP2A1" "RPS9" 0.306
"AP2A1" "RAB11B" 0.453
"AP2A1" "PIP5K1C" 0.48
"AP2A1" "RPL13A" 0.295
"AP2A1" "BIN2" 0.401
"AP2A1" "EPN3" NA
"AKT1" "ARF1" 0.298
"AKT1" "ARRB2" 0.531
"AKT1" "BAD" 0.57
"AKT1" "ZFP36L1" 0.573
"AKT1" "CAMK2A" 0.519
"AKT1" "CRK" 0.54
"AKT1" "CSK" 0.373
"AKT1" "DDOST" 0.318
"AKT1" "EEF2" 0.257
"AKT1" "EGR1" 0.468
"AKT1" "EIF4EBP1" 0.222
"AKT1" "FOXM1" 0.469
"AKT1" "FLII" NA
"AKT1" "GATA2" 0.504
"AKT1" "GNAI2" 0.484
"AKT1" "GNB2" 0.286
"AKT1" "GYS1" 0.943
"AKT1" "HRAS" 0.633
"AKT1" "HSPB1" 0.595
"AKT1" "IRF3" 0.461
"AKT1" "ITGA2B" 0.16
"AKT1" "ITGB4" 0.345
"AKT1" "MCL1" 0.446
"AKT1" "MEF2D" 0.348
"AKT1" "MSN" 0.458
"AKT1" "NONO" 0.378
"AKT1" "NPM1" 0.591
"AKT1" "PCBP1" 0.337
"AKT1" "SERPINB5" 1
"AKT1" "PLK1" 0.519
"AKT1" "PPP2R5A" 0.239
"AKT1" "PSMA7" 0.204
"AKT1" "PSMB4" 0.204
"AKT1" "PSMC4" 0.247
"AKT1" "RPL7" 0.284
"AKT1" "RPS2" 0.301
"AKT1" "RPS9" 0.353
"AKT1" "SDHC" 0.237
"AKT1" "SOS1" 0.578
"AKT1" "ST14" 0.282
"AKT1" "STAT3" 0.649
"AKT1" "STAT5A" 0.492
"AKT1" "STK11" 0.559
"AKT1" "TNF" 0.675
"AKT1" "TPM2" 0.152
"AKT1" "TSC2" 0.585
"AKT1" "NCK2" 0.544
"AKT1" "PIAS1" 0.447
"AKT1" "KHSRP" 0.368
"AKT1" "HDAC3" 0.525
"AKT1" "SPHK1" 0.574
"AKT1" "NUDC" 0.319
"AKT1" "PLEKHO1" NA
"AKT1" "SYTL1" 0.551
"AKT1" "RASL10B" 0.154
"AKT1" "TUBB" 0.441
"ALAS2" "SARDH" 0.016
"ALAS2" "HBD" 0.315
"ALAS2" "LSS" 0.211
"ALAS2" "MDH2" 0.044
"ALAS2" "NDUFV1" 0.021
"ALAS2" "FIS1" 0.168
"ALOX5AP" "CD53" 0.268
"ALOX5AP" "CD68" 0.125
"ALOX5AP" "HLA-DRB1" 0.099
"ALOX5AP" "PLP2" 0.238
"ALOX5AP" "S100A6" 0.264
"ALOX5AP" "TBXAS1" 0.49
"ALOX5AP" "LST1" 0.15
"ALOX5AP" "VAMP8" 0.082
"AMBP" "CD79A" 0.241
"ANXA5" "EEF2" 0.296
"ANXA5" "MSN" 0.33
"ANXA5" "PGK1" 0.351
"ANXA5" "PPIB" 0.164
"ANXA5" "CRTAP" 0.136
"ANXA11" "HLA-DRA" 0.126
"ANXA11" "S100A6" 0.263
"APLP1" "CPE" 0.311
"APLP1" "VGF" 0.365
"ARF1" "ASNA1" 0.155
"ARF1" "CKS1B" 0.085
"ARF1" "CSNK2B" 0.361
"ARF1" "CTSL" 0.261
"ARF1" "DDOST" 0.35
"ARF1" "DYNC1H1" 0.402
"ARF1" "EEF1G" 0.203
"ARF1" "EEF2" 0.282
"ARF1" "EIF4A2" 0.08
"ARF1" "EIF5A" 0.322
"ARF1" "FAU" NA
"ARF1" "GNB1" 0.273
"ARF1" "GNB2" 0.169
"ARF1" "HLA-DRB1" 0.253
"ARF1" "HRAS" 0.35
"ARF1" "MSN" 0.333
"ARF1" "NPM1" 0.367
"ARF1" "PCBP1" 0.286
"ARF1" "PGK1" 0.286
"ARF1" "PLK1" 0.28
"ARF1" "PPIB" 0.12
"ARF1" "PPP3CC" 0.098
"ARF1" "PSMA4" 0.095
"ARF1" "PSMA7" 0.095
"ARF1" "PSMB4" 0.095
"ARF1" "PSMC4" 0.19
"ARF1" "RAB5B" 0.473
"ARF1" "RAB5C" 0.418
"ARF1" "RPL4" 0.233
"ARF1" "RPL8" 0.234
"ARF1" "RPL11" 0.291
"ARF1" "RPL15" 0.234
"ARF1" "RPL18" 0.234
"ARF1" "RPL30" 0.304
"ARF1" "RPL27A" 0.233
"ARF1" "RPL32" 0.234
"ARF1" "RPL36AL" NA
"ARF1" "RPL37" 0.233
"ARF1" "RPLP0" 0.338
"ARF1" "RPLP2" 0.233
"ARF1" "RPN1" 0.226
"ARF1" "RPS2" 0.246
"ARF1" "RPS9" 0.254
"ARF1" "RPS23" 0.234
"ARF1" "SURF4" 0.384
"ARF1" "UQCRC2" 0.167
"ARF1" "RPL14" 0.253
"ARF1" "RAB11B" 0.462
"ARF1" "ARFRP1" 0.545
"ARF1" "RPL35" 0.221
"ARF1" "EXOSC7" 0.087
"ARF1" "PIP5K1C" 0.503
"ARF1" "RPL13A" 0.302
"ARF1" "GSPT2" 0.121
"ARF1" "PYCR2" 0.101
"ARF1" "SEC61A1" 0.274
"ARF1" "VPS28" 0.314
"ARF1" "BET1L" 0.288
"ARF1" "CAB39" 0.376
"ARF1" "PPAN" 0.274
"ARF1" "SMAP1" 0.784
"ARF1" "TRAPPC5" 0.305
"ARF1" "TUBB" 0.431
"RHOG" "CSK" 0.412
"RHOG" "CYBA" 0.383
"RHOG" "GNAI2" 0.599
"RHOG" "HCK" 0.569
"RHOG" "SOS1" 0.656
"RHOG" "SPI1" 0.507
"RHOG" "STAT3" 0.476
"RHOG" "VAV1" 0.625
"RHOG" "STK24" 0.579
"RHOG" "RHOBTB1" 0.72
"RHOG" "ARHGEF16" 0.738
"RHOG" "ARHGAP17" 0.635
"RHOG" "ARHGAP9" 0.56
"RHOG" "FGD3" 0.752
"RHOG" "RHOT2" 0.54
"ARR3" "ARRB2" NA
"ARR3" "FSHR" NA
"ARR3" "CXCR4" NA
"ARRB2" "CSK" 0.426
"ARRB2" "DYNC1H1" 0.287
"ARRB2" "EEF2" 0.365
"ARRB2" "HCK" 0.525
"ARRB2" "MYL6" 0.154
"ARRB2" "NONO" 0.403
"ARRB2" "RAB5C" 0.336
"ARRB2" "RANGAP1" 0.047
"ARRB2" "RPL4" 0.325
"ARRB2" "RPL7" 0.343
"ARRB2" "RPL11" 0.497
"ARRB2" "RPL18" 0.334
"ARRB2" "RPLP0" 0.36
"ARRB2" "RPLP2" 0.325
"ARRB2" "CXCR4" 0.545
"ARRB2" "RBM10" NA
"ARRB2" "RPL14" 0.342
"ARRB2" "NUDC" 0.325
"ARRB2" "RPL35" 0.327
"ARRB2" "ARHGAP17" 0.32
"ASIP" "F11R" 0.392
"ASL" "DDOST" 0.172
"ASL" "GLUD2" 0.436
"ASL" "GNB2" 0
"ASL" "PPIB" 0
"ASL" "RPL4" 0.341
"ASL" "RPLP2" 0.341
"ASNA1" "CSNK2B" 0.136
"ASNA1" "ECHS1" 0
"ASNA1" "EEF1G" 0.038
"ASNA1" "EEF2" 0.083
"ASNA1" "EIF5A" 0.274
"ASNA1" "GNAI2" 0.161
"ASNA1" "GNB1" 0.189
"ASNA1" "GNB2" 0.146
"ASNA1" "GTF2H4" 0.178
"ASNA1" "HINT1" 0.221
"ASNA1" "MARS" 0.143
"ASNA1" "NDUFV1" 0.019
"ASNA1" "NONO" 0.116
"ASNA1" "P2RY11" 0.183
"ASNA1" "PCBP1" 0.079
"ASNA1" "PFDN1" NA
"ASNA1" "POLR2L" 0.083
"ASNA1" "PPIB" 0
"ASNA1" "PSMA4" 0
"ASNA1" "PSMA7" 0
"ASNA1" "PSMB4" 0
"ASNA1" "PSMC4" 0.011
"ASNA1" "RPL4" 0.316
"ASNA1" "RPLP2" 0.316
"ASNA1" "MRPS12" 0.009
"ASNA1" "RPS9" 0.253
"ASNA1" "USP5" 0
"ASNA1" "CLPP" 0.007
"ASNA1" "ZBED1" 0.167
"ASNA1" "ATP6V1F" 0.248
"ASNA1" "MPHOSPH6" 0.016
"ASNA1" "NUDC" 0.099
"ASNA1" "RPL35" 0.277
"ASNA1" "GABARAP" 0.249
"ASNA1" "HSPBP1" 0
"ASNA1" "GSPT2" 0.011
"ASNA1" "TXN2" 0
"ASNA1" "TIMM13" 0.292
"ASNA1" "SEC61A1" 0.654
"ASNA1" "FIS1" 0.13
"ASNA1" "ISYNA1" 0
"ASNA1" "PPAN" 0
"ASNA1" "EXOSC5" 0.05
"ASNA1" "XAB2" 0.116
"ASNA1" "LSM2" 0
"ASNA1" "MUS81" 0.163
"ASNA1" "YIF1B" 0.357
"ASNA1" "KLHDC3" 0.409
"ASNA1" "TRAPPC5" 0.283
"ASNA1" "TUBB" 0.183
"ATP5G1" "ATP5G2" NA
"ATP5G1" "COX7C" NA
"ATP5G1" "TIMM8A" NA
"ATP5G1" "ECHS1" NA
"ATP5G1" "EIF5A" NA
"ATP5G1" "IDH2" NA
"ATP5G1" "MDH2" NA
"ATP5G1" "NDUFA3" NA
"ATP5G1" "NDUFB7" NA
"ATP5G1" "NDUFB10" NA
"ATP5G1" "NDUFV1" NA
"ATP5G1" "MRPS12" NA
"ATP5G1" "SDHC" NA
"ATP5G1" "UQCRC2" NA
"ATP5G1" "COX7A2L" NA
"ATP5G1" "COX5A" NA
"ATP5G1" "TXN2" NA
"ATP5G1" "TIMM13" NA
"ATP5G1" "UQCRQ" NA
"ATP5G1" "NDUFB11" NA
"ATP5G1" "MRPL16" NA
"ATP5G1" "MRPL17" NA
"ATP5G1" "MRPS24" NA
"ATP5G1" "CHCHD4" NA
"ATP5G2" "COX7C" NA
"ATP5G2" "EIF5A" NA
"ATP5G2" "MDH2" NA
"ATP5G2" "NDUFB7" NA
"ATP5G2" "NDUFB10" NA
"ATP5G2" "NDUFV1" NA
"ATP5G2" "MRPS12" NA
"ATP5G2" "SDHC" NA
"ATP5G2" "UQCRC2" NA
"ATP5G2" "RBM10" NA
"ATP5G2" "COX7A2L" NA
"ATP5G2" "COX5A" NA
"ATP5G2" "TIMM13" NA
"ATP5G2" "UQCRQ" NA
"ATP5G2" "NDUFB11" NA
"ATP5G2" "MRPL16" NA
"ATP6AP1" "IGF2R" 0.443
"ATP6AP1" "LAMP1" 0.374
"ATP6AP1" "ATP6V1F" 0.558
"ATP6AP1" "NDFIP1" 0.439
"KIF1A" "GIT1" 0.05
"BAD" "BID" 0.635
"BAD" "MCL1" 0.528
"BAD" "PPP3CC" 0.162
"BAD" "HRK" 0.461
"BAD" "PIM2" 0.544
"BAD" "BBC3" 0.661
"BCL3" "NFKB2" 0.55
"BCL3" "RELB" 0.576
"BCL3" "STAT3" 0.521
"BCL3" "HDAC3" 0.571
"BID" "CSNK1E" 0.448
"BID" "CSNK2B" 0.415
"BID" "MCL1" 0.608
"BID" "MSN" 0.296
"BID" "RIPK1" 0.56
"BID" "SQSTM1" 0.607
"BID" "BBC3" 0.801
"ZFP36L1" "EXOSC7" 0.3
"ZFP36L1" "EXOSC3" 0.334
"ZFP36L1" "EXOSC5" 0.318
"BST2" "IRF7" 0.605
"BST2" "HARS2" 0.149
"C8G" "LCN1" 0.719
"PTTG1IP" "LAMP1" 0.297
"PTTG1IP" "RNF149" 0.802
"CACNA1A" "GNB1" 0.441
"CACNA1A" "GNB2" 0.305
"CACNA1A" "GRN" 0.525
"CACNA1A" "PRKCG" 0.333
"CACNA1A" "CACNA2D4" 0.376
"CACNA1A" "TUBB2B" 0.243
"CAMK2A" "HRAS" 0.551
"CAMK2A" "ITGA2B" 0.22
"CAMK2A" "MEF2D" 0.259
"CAMK2A" "SRF" 0.402
"CAMK2A" "SYNGAP1" 0.461
"CAMK2A" "SQSTM1" 0.513
"CAMK2A" "CLSTN3" 0.258
"CAMK2A" "GIT1" 0.185
"CAMK2A" "CACNA2D4" 0.192
"CD7" "CTSL" 0.386
"CD7" "SPN" 0.541
"CD22" "CD68" 0.741
"CD22" "CD72" 0.31
"CD22" "CD79A" 0.591
"CD22" "SPN" 0.476
"CD22" "TNFRSF13B" 0.519
"ENTPD2" "POLR2L" 0.498
"CD53" "GGT1" 0.371
"CD53" "HLA-DRB1" 0.455
"CD53" "SPN" 0.54
"CD63" "HLA-DRA" 0.329
"CD63" "IGF2R" 0.587
"CD63" "LAMP1" 0.474
"CD63" "MSN" 0.432
"CD63" "SPARC" 0.495
"CD63" "SRF" 0.351
"CD68" "CYBA" 1
"CD68" "HLA-DMA" 0.377
"CD68" "SPI1" 0.356
"CD68" "VWF" 0.774
"CD72" "CD79A" 0.166
"CD72" "HLA-DRB1" 0.097
"CD72" "SELL" 1
"CD79A" "CSK" 0.478
"CD79A" "SELL" 0.478
"CD79A" "SLAMF1" 0.271
"CD79A" "SOS1" 0.426
"CD79A" "TNFRSF13B" 0.578
"CD79A" "LAT" 0.568
"CD79A" "FATE1" 0.115
"CDA" "CES2" 0.26
"CDA" "NT5M" 0.468
"CDC25A" "CKS1B" 0.613
"CDC25A" "CSNK1E" 0.546
"CDC25A" "FOXM1" 0.57
"CDC25A" "HCFC1" 0.511
"CDC25A" "HRAS" 0.534
"CDC25A" "NPM1" 0.465
"CDC25A" "PLK1" 0.618
"CDC25A" "PSMA4" 0.368
"CDC25A" "PSMA7" 0.368
"CDC25A" "PSMB4" 0.368
"CDC25A" "PSMC4" 0.371
"CDC25A" "RRM2" 0.405
"CDC25A" "MCM3AP" NA
"CDC25A" "PKMYT1" 0.696
"CDC25A" "NUDC" 0.423
"CDC25A" "PSME4" 0.38
"CDC25A" "PPAN" 0
"CEBPA" "DBP" 0.514
"CEBPA" "GATA2" 0.632
"CEBPA" "SPI1" 0.654
"CEBPA" "PIAS1" 0.549
"CEBPA" "MTA1" 0.522
"CEBPA" "BATF" 0.453
"CHRNG" "RAPSN" 0.57
"CKS1B" "CSNK2B" 0.208
"CKS1B" "DDOST" 0.16
"CKS1B" "DDX11" 0.176
"CKS1B" "EEF1G" 0.079
"CKS1B" "EEF2" 0.214
"CKS1B" "EIF4A2" 0.15
"CKS1B" "EIF5A" 0.18
"CKS1B" "FANCG" 0.17
"CKS1B" "FOXM1" 0.418
"CKS1B" "FRG1" 0.192
"CKS1B" "GNB1" 0.19
"CKS1B" "GNB2" 0.252
"CKS1B" "GTF2H4" 0.089
"CKS1B" "KIFC1" 0.562
"CKS1B" "MARS" 0.038
"CKS1B" "NONO" 0.204
"CKS1B" "NPM1" 0.248
"CKS1B" "P2RY11" 0.198
"CKS1B" "PCBP1" 0.264
"CKS1B" "PCBP2" 0.181
"CKS1B" "PLK1" 0.486
"CKS1B" "POLR2L" 0.143
"CKS1B" "PPIB" 0.042
"CKS1B" "PSMA4" 0.179
"CKS1B" "PSMA7" 0.179
"CKS1B" "PSMB4" 0.179
"CKS1B" "PSMC4" 0.219
"CKS1B" "RAB5B" 0.118
"CKS1B" "RAB5C" 0.131
"CKS1B" "RPL4" 0.176
"CKS1B" "RPL7" 0.13
"CKS1B" "RPL8" 0.16
"CKS1B" "RPL10" 0.209
"CKS1B" "RPL11" 0.164
"CKS1B" "RPL15" 0.16
"CKS1B" "RPL30" 0.125
"CKS1B" "RPL27A" 0.176
"CKS1B" "RPL32" 0.16
"CKS1B" "RPL36AL" NA
"CKS1B" "RPLP0" 0.133
"CKS1B" "RPLP2" 0.176
"CKS1B" "MRPS12" 0.161
"CKS1B" "RPN1" 0.342
"CKS1B" "RPS2" 0.215
"CKS1B" "RPS9" 0.184
"CKS1B" "RRM2" 0.431
"CKS1B" "SET" 0.208
"CKS1B" "SH3GL1" 0.398
"CKS1B" "SMARCD3" 0.251
"CKS1B" "SP1" 0.236
"CKS1B" "SURF4" 0.175
"CKS1B" "TBCA" 0.109
"CKS1B" "UGP2" 0.012
"CKS1B" "UNG" 0.107
"CKS1B" "ZNF35" 0.295
"CKS1B" "HIST1H2AC" 0.234
"CKS1B" "HDAC3" 0.27
"CKS1B" "BAZ1B" 0.271
"CKS1B" "RPL14" 0.147
"CKS1B" "PKMYT1" 0.782
"CKS1B" "ZBED1" 0.405
"CKS1B" "ARPC1B" 0.108
"CKS1B" "PRMT5" 0.182
"CKS1B" "TACC3" 0.486
"CKS1B" "MYBBP1A" 0.293
"CKS1B" "POLD3" 0.109
"CKS1B" "NUDC" 0.273
"CKS1B" "RPL35" 0.151
"CKS1B" "DNAJC9" 0.168
"CKS1B" "HARS2" 0.164
"CKS1B" "RPL13A" 0.158
"CKS1B" "KPNA6" 0
"CKS1B" "TIMM13" 0.013
"CKS1B" "PYCR2" 0.069
"CKS1B" "SEC61A1" 0
"CKS1B" "CTNNBL1" 0.21
"CKS1B" "PPAN" 0
"CKS1B" "EXOSC5" 0.052
"CKS1B" "XAB2" 0.211
"CKS1B" "PLSCR3" 0
"CKS1B" "LSM2" 0.121
"CKS1B" "MRPL17" 0.03
"CKS1B" "CHTF18" 0.257
"CKS1B" "CENPH" 0
"CKS1B" "PDCL3" 0.257
"CKS1B" "MUS81" 0.248
"CKS1B" "ANP32E" 0
"CKS1B" "SHKBP1" 0.05
"CKS1B" "FTSJ3" 0
"CKS1B" "TRAPPC5" 0.027
"CKS1B" "TUBB" 0.455
"CKS1B" "POLR2J2" NA
"CKS1B" "TSEN54" 0
"CLCN7" "LAMP1" 0.106
"CNGA2" "KCNK9" NA
"CNTFR" "CRK" 0.585
"CNTFR" "CTF1" 0.795
"COMT" "CSNK2B" 0.307
"COMT" "DBH" 0.673
"COMT" "HINT1" 0.467
"COMT" "MDH2" 0.262
"COMT" "PNMT" 0.874
"COMT" "RGS2" 0.136
"KLF6" "PGK1" 0.442
"KLF6" "RPLP2" 0.502
"KLF6" "SP1" 0.668
"KLF6" "HDAC3" 0.514
"KLF6" "ARPC5" 0.463
"KLF6" "ARPC1B" 0.408
"COX7C" "TIMM8A" 0.139
"COX7C" "HINT1" 0.39
"COX7C" "IDH2" 0.439
"COX7C" "MDH2" 0.534
"COX7C" "NDUFA3" 0.594
"COX7C" "NDUFB7" 0.594
"COX7C" "NDUFB10" 0.594
"COX7C" "NDUFV1" 0.663
"COX7C" "MRPS12" 0.256
"COX7C" "SDHC" 0.654
"COX7C" "UQCRC2" 0.683
"COX7C" "COX7A2L" 0.522
"COX7C" "COX5A" 1
"COX7C" "TIMM13" 0.011
"COX7C" "UQCRQ" 0.68
"COX7C" "NDUFB11" 0.019
"COX7C" "MRPL16" 0.172
"COX7C" "MRPS24" 0.172
"COX7C" "CHCHD4" 0.052
"CRK" "CSK" 0.45
"CRK" "DNM2" 0.577
"CRK" "EPHB3" 0.606
"CRK" "GP9" 0.316
"CRK" "HSPB1" 0.567
"CRK" "ITGA2B" 0.302
"CRK" "KRT16" 0.435
"CRK" "PRKCG" 0.482
"CRK" "SOS1" 0.669
"CRK" "STAT5A" 0.446
"CRK" "TAL1" 0.449
"CRK" "VAV1" 0.687
"CRK" "VWF" 0.455
"CRK" "NCK2" 0.653
"CRK" "SOCS1" 0.515
"CRK" "TNK2" 0.56
"CRK" "EFS" 0.521
"CRK" "TGOLN2" 0.405
"CRK" "FRS3" 0.581
"CRK" "FASTK" 0.394
"CRK" "SH3BP1" 0.603
"CRK" "HSPBP1" 0.186
"CRK" "OPTC" NA
"CRK" "ARHGAP17" 0.482
"CRK" "THOC2" 0.314
"CRK" "MICAL1" 0.588
"CSF3R" "HCK" 0.536
"CSF3R" "STAT3" 0.543
"CSK" "CSNK2B" 0.36
"CSK" "DYNC1H1" 0.275
"CSK" "DNM2" 0.352
"CSK" "FAU" NA
"CSK" "FLII" NA
"CSK" "GNAI2" 0.314
"CSK" "HCK" 0.467
"CSK" "HLA-DRB1" 0.394
"CSK" "ITGA2B" 0.3
"CSK" "SOS1" 0.469
"CSK" "STAT3" 0.329
"CSK" "STAT5A" 0.27
"CSK" "VAV1" 0.523
"CSK" "VWF" 0.334
"CSK" "STK24" 0.486
"CSK" "NCK2" 0.471
"CSK" "PSTPIP1" 0.411
"CSK" "ARHGAP17" 0.282
"CSK" "ILKAP" NA
"CSK" "TUBB" 0.419
"CSNK1E" "CSNK2B" 0.576
"CSNK1E" "DYNC1H1" 0.428
"CSNK1E" "EEF2" 0.33
"CSNK1E" "EIF4A2" 0.234
"CSNK1E" "EIF5A" 0.396
"CSNK1E" "GNB1" 0.531
"CSNK1E" "GNB2" 0.354
"CSNK1E" "GYS1" 0.358
"CSNK1E" "NONO" 0.508
"CSNK1E" "PCBP2" 0.436
"CSNK1E" "PCNT" 0.436
"CSNK1E" "PLK1" 0.685
"CSNK1E" "PSMC4" 0.369
"CSNK1E" "RPLP2" 0.38
"CSNK1E" "RPS9" 0.437
"CSNK1E" "USP11" 0.689
"CSNK1E" "MTA2" 0.322
"CSNK1E" "PRMT5" 0.449
"CSNK1E" "TUBGCP2" 0.287
"CSNK1E" "GSPT2" 0.313
"CSNK1E" "SMAP1" 0.648
"CSNK1E" "KLHDC3" 0.241
"CSNK2B" "DDOST" 0.406
"CSNK2B" "DYNC1H1" 0.342
"CSNK2B" "EEF2" 0.288
"CSNK2B" "EIF4A2" 0.132
"CSNK2B" "EIF5A" 0.324
"CSNK2B" "FAU" NA
"CSNK2B" "GNB1" 0.518
"CSNK2B" "GNB2" 0.32
"CSNK2B" "GTF2H4" 0.355
"CSNK2B" "HCFC1" 0.432
"CSNK2B" "HINT1" 0.518
"CSNK2B" "MARS" 0.246
"CSNK2B" "MDH2" 0.136
"CSNK2B" "MYL6" 0.143
"CSNK2B" "NDUFB7" 0.171
"CSNK2B" "NDUFB10" 0.171
"CSNK2B" "NDUFV1" 0.187
"CSNK2B" "NONO" 0.345
"CSNK2B" "NPM1" 0.505
"CSNK2B" "P2RY11" 0.382
"CSNK2B" "PCBP1" 0.299
"CSNK2B" "PCBP2" 0.331
"CSNK2B" "PGK1" 0.38
"CSNK2B" "POLR2L" 0.364
"CSNK2B" "PPIB" 0.176
"CSNK2B" "PPP2R5A" 0.197
"CSNK2B" "PPP3CC" 0.189
"CSNK2B" "PSMA4" 0.191
"CSNK2B" "PSMA7" 0.191
"CSNK2B" "PSMB4" 0.191
"CSNK2B" "PSMC4" 0.254
"CSNK2B" "RAB5C" 0.331
"CSNK2B" "RANGAP1" 0.091
"CSNK2B" "RPL4" 0.233
"CSNK2B" "RPL7" 0.294
"CSNK2B" "RPL8" 0.237
"CSNK2B" "RPL10" 0.345
"CSNK2B" "RPL15" 0.237
"CSNK2B" "RPL18" 0.237
"CSNK2B" "RPL30" 0.244
"CSNK2B" "RPL27A" 0.233
"CSNK2B" "RPL41" 0.237
"CSNK2B" "RPLP0" 0.312
"CSNK2B" "RPLP2" 0.233
"CSNK2B" "RPN1" 0.317
"CSNK2B" "RPS2" 0.291
"CSNK2B" "RPS9" 0.343
"CSNK2B" "RPS23" 0.26
"CSNK2B" "SET" 0.32
"CSNK2B" "SH3GL1" 0.495
"CSNK2B" "STAT5A" 0.377
"CSNK2B" "SURF4" 0.339
"CSNK2B" "UQCRC2" 0.135
"CSNK2B" "HDAC3" 0.415
"CSNK2B" "RPL14" 0.288
"CSNK2B" "MTA1" 0.443
"CSNK2B" "ZBED1" 0.633
"CSNK2B" "RAB11B" 0.369
"CSNK2B" "ATP6V1F" 0.333
"CSNK2B" "COX5A" 0.193
"CSNK2B" "ENTPD4" 0.031
