"ENTREZID","SYMBOL"
"64789","EXO5"
"85301","COL27A1"
"114804","RNF157"
"51020","HDDC2"
"6283","S100A12"
"9839","ZEB2"
"100130519","TMEM221"
"84131","CEP78"
"404216","LINC01561"
"23141","ANKLE2"
"167127","UGT3A2"
"2560","GABRB1"
"56101","PCDHGB5"
"9144","SYNGR2"
"1994","ELAVL1"
"151188","ARL6IP6"
"51751","HIGD1B"
"11061","CNMD"
"23263","MCF2L"
"56122","PCDHB14"
"85002","FAM86B1"
"202243","CCDC125"
"23294","ANKS1A"
"55848","PLGRKT"
"1295","COL8A1"
"112611","RWDD2A"
"79001","VKORC1"
"23209","MLC1"
"5607","MAP2K5"
"84916","UTP4"
"8683","SRSF9"
"1468","SLC25A10"
"3898","LAD1"
"1305","COL13A1"
"6023","RMRP"
"54860","MS4A12"
"5142","PDE4B"
"344787","ZNF860"
"338442","HCAR2"
"401262","CRIP3"
"2799","GNS"
"5595","MAPK3"
"639","PRDM1"
"136259","KLF14"
"2796","GNRH1"
"10966","RAB40B"
"55255","WDR41"
"100101267","POM121C"
"1208","CLPS"
"132228","LSMEM2"
"2060","EPS15"
"25902","MTHFD1L"
"199223","TTC21A"
"677679","SCARNA3"
"64429","ZDHHC6"
"7517","XRCC3"
"64922","LRRC19"
"729262","NUTM2B"
"26024","PTCD1"
"163115","ZNF781"
"64902","AGXT2"
"23230","VPS13A"
"57539","WDR35"
"170392","OIT3"
"84665","MYPN"
"79026","AHNAK"
"57447","NDRG2"
"8148","TAF15"
"64762","GAREM1"
"283446","MYO1H"
"6553","SLC9A5"
"137133","PSAT1P1"
"554235","ASPDH"
"8802","SUCLG1"
"1892","ECHS1"
"51388","NIP7"
"6902","TBCA"
"63967","CLSPN"
"55251","PCMTD2"
"129807","NEU4"
"138307","LCN8"
"79018","GID4"
"27290","SPINK4"
"1187","CLCNKA"
"6881","TAF10"
"26289","AK5"
"79922","MRM1"
"79575","ABHD8"
"80256","FAM214B"
"64849","SLC13A3"
"10186","LHFPL6"
"157556","BAALC-AS2"
"27158","NDOR1"
"1487","CTBP1"
"116092","DNTTIP1"
"79066","METTL16"
"387718","TEX36"
"80169","CTC1"
"8220","ESS2"
"10180","RBM6"
"57630","SH3RF1"
"132946","ARL9"
"80341","BPIFB2"
"53","ACP2"
"644619","INTS4P2"
"56652","TWNK"
"3632","INPP5A"
"2978","GUCA1A"
"3747","KCNC2"
"10307","APBB3"
"84084","RAB6C"
"2779","GNAT1"
"54925","ZSCAN32"
"23731","TMEM245"
"284099","C17orf78"
"1814","DRD3"
"54869","EPS8L1"
"4783","NFIL3"
"55066","PDPR"
"56666","PANX2"
"11063","SOX30"
"10432","RBM14"
"53833","IL20RB"
"6282","S100A11"
"116832","RPL39L"
"546","ATRX"
"4147","MATN2"
"122046","TEX26"
"23285","KIAA1107"
"4258","MGST2"
"79541","OR2A4"
"55585","UBE2Q1"
"29066","ZC3H7A"
"57526","PCDH19"
"155100","CCT8L1P"
"8330","HIST1H2AK"
"10523","CHERP"
"79876","UBA5"
"84992","PIGY"
"1890","TYMP"
"7114","TMSB4X"
"147807","ZNF524"
"57496","MKL2"
"257240","KLHL34"
"391112","OR6Y1"
"6375","XCL1"
"5983","RFC3"
"8435","SOAT2"
"1406","CRX"
"51435","SCARA3"
"943","TNFRSF8"
"9738","CCP110"
"80146","UXS1"
"56344","CABP5"
"80270","HSD3B7"
"260294","NSUN5P2"
"5570","PKIB"
"728597","DCDC2C"
"399687","MYO18A"
"3803","KIR2DL2"
"338692","ANKRD13D"
"23161","SNX13"
"55920","RCC2"
"26749","GAGE2E"
"10154","PLXNC1"
"55825","PECR"
"22899","ARHGEF15"
"3224","HOXC8"
"57862","ZNF410"
"55014","STX17"
"25875","LETMD1"
"57214","CEMIP"
"256380","SCML4"
"1635","DCTD"
"658","BMPR1B"
"23094","SIPA1L3"
"55246","CCDC25"
"1337","COX6A1"
"26168","SENP3"
"2783","GNB2"
"401541","CENPP"
"2707","GJB3"
"79905","TMC7"
"90134","KCNH7"
"27183","VPS4A"
"84766","CRACR2A"
"55262","C7orf43"
"10527","IPO7"
"124460","SNX20"
"3284","HSD3B2"
"8332","HIST1H2AL"
"4588","MUC6"
"79837","PIP4K2C"
"100505753","KRTAP16-1"
"51280","GOLM1"
"51298","THEG"
"84795","PYROXD2"
"11021","RAB35"
"79092","CARD14"
"6100","RP9"
"348093","RBPMS2"
"57380","MRS2"
"405753","DUOXA2"
"85352","SHISAL1"
"23287","AGTPBP1"
"4939","OAS2"
"377677","CA13"
"285315","C3orf33"
"55159","RFWD3"
"8366","HIST1H4B"
"10861","SLC26A1"
"11234","HPS5"
"57381","RHOJ"
"22882","ZHX2"
"7100","TLR5"
"51295","ECSIT"
"10885","WDR3"
"8714","ABCC3"
"2669","GEM"
"54600","UGT1A9"
"84817","TXNDC17"
"1360","CPB1"
"403314","APOBEC4"
"84240","ZCCHC9"
"202018","TAPT1"
"5017","OVOL1"
"3562","IL3"
"51520","LARS"
"10321","CRISP3"
"6499","SKIV2L"
"4680","CEACAM6"
"4350","MPG"
"387646","LRRC37A6P"
"55298","RNF121"
"140735","DYNLL2"
"139378","ADGRG4"
"23184","MESD"
"90268","OTULIN"
"7766","ZNF223"
"10952","SEC61B"
"9745","ZNF536"
"26509","MYOF"
"4595","MUTYH"
"121273","C12orf54"
"283297","OR10A4"
"4161","MC5R"
"284418","FAM71E2"
"55092","TMEM51"
"27146","FAM184B"
"153129","SLC38A9"
"28966","SNX24"
"9166","EBAG9"
"11126","CD160"
"57473","ZNF512B"
"84631","SLITRK2"
"7850","IL1R2"
"375341","C3orf62"
"79760","GEMIN7"
"125981","ACER1"
"8618","CADPS"
"416","ARSF"
"402694","RPL15P11"
"10319","LAMC3"
"4550","RNR2"
"26191","PTPN22"
"11344","TWF2"
"143282","FGFBP3"
"400221","FLJ22447"
"10637","LEFTY1"
"2947","GSTM3"
"7223","TRPC4"
"10189","ALYREF"
"10362","HMG20B"
"4340","MOG"
"84688","C9orf24"
"6369","CCL24"
"23467","NPTXR"
"653319","KIAA0895L"
"23081","KDM4C"
"1856","DVL2"
"83891","SNX25"
"251","ALPPL2"
"126003","TRAPPC5"
"10943","MSL3"
"8780","RIOK3"
"23612","PHLDA3"
"56892","TCIM"
"90019","SYT8"
"388633","LDLRAD1"
"79958","DENND1C"
"57129","MRPL47"
"341567","H1FNT"
"84260","TCHP"
"22795","NID2"
"54470","ARMCX6"
"1840","DTX1"
"64333","ARHGAP9"
"83593","RASSF5"
"81620","CDT1"
"10874","NMU"
"999","CDH1"
"6297","SALL2"
"54550","NECAB2"
"23155","CLCC1"
"54097","FAM3B"
"3761","KCNJ4"
"7965","AIMP2"
"23034","SAMD4A"
"64926","RASAL3"
"25852","ARMC8"
"2736","GLI2"
"57102","C12orf4"
"374286","CDRT1"
"9933","PUM3"
"10634","GAS2L1"
"64793","CEP85"
"256223","CDRT15L2"
"116534","MRGPRE"
"339287","MSL1"
"632","BGLAP"
"83953","FCAMR"
"122616","CLBA1"
"55096","EBLN2"
"9480","ONECUT2"
"78998","RHPN1-AS1"
"124220","ZG16B"
"51655","RASD1"
"161823","ADAL"
"64853","AIDA"
"148229","ATP8B3"
"51106","TFB1M"
"3620","IDO1"
"84503","ZNF527"
"634","CEACAM1"
"7071","KLF10"
"55558","PLXNA3"
"3062","HCRTR2"
"100130932","SNRPGP15"
"147670","SMIM17"
"6134","RPL10"
"598","BCL2L1"
"3980","LIG3"
"353140","LCE2C"
"5877","RABIF"
"4712","NDUFB6"
"116833","ANIB1"
"9804","TOMM20"
"54961","SSH3"
"121130","OR10P1"
"5004","ORM1"
"2875","GPT"
"22826","DNAJC8"
"144699","FBXL14"
"91156","IGFN1"
"4129","MAOB"
"146198","ZFP90"
"54979","HRASLS2"
"56478","EIF4ENIF1"
"378938","MALAT1"
"139189","DGKK"
"57404","CYP20A1"
"79778","MICALL2"
"81285","OR51E2"
"56650","CLDND1"
"84134","TOMM40L"
"150159","SLC9B1"
"9635","CLCA2"
"83988","NCALD"
"10447","FAM3C"
"10767","HBS1L"
"7165","TPD52L2"
"23495","TNFRSF13B"
"5212","VIT"
"9377","COX5A"
"2688","GH1"
"91074","ANKRD30A"
"6887","TAL2"
"387882","C12orf75"
"390093","OR10A6"
"10169","SERF2"
"50649","ARHGEF4"
"4116","MAGOH"
"9521","EEF1E1"
"203522","INTS6L"
"115123","MARCH3"
"338785","KRT79"
"9095","TBX19"
"473","RERE"
"85407","NKD1"
"388564","TMEM238"
"81493","SYNC"
"4601","MXI1"
"55567","DNAH3"
"10198","MPHOSPH9"
"10095","ARPC1B"
"9694","EMC2"
"124739","USP43"
"112840","WDR89"
"5994","RFXAP"
"7495","XBP1P1"
"55672","NBPF1"
"8564","KMO"
"64779","MTHFSD"
"123904","NRN1L"
"30834","ZNRD1"
"6364","CCL20"
"1326","MAP3K8"
"8214","DGCR6"
"79887","PLBD1"
"55801","IL26"
"392509","ARL13A"
"6767","ST13"
"27153","ZNF777"
"203859","ANO5"
"10959","TMED2"
"5526","PPP2R5B"
"283600","SLC25A47"
"81609","SNX27"
"120796","OR56A1"
"8302","KLRC4"
"857","CAV1"
"7565","ZNF17"
"8019","BRD3"
"7480","WNT10B"
"8741","TNFSF13"
"441795","HMGB3P27"
"112464","CAVIN3"
"6462","SHBG"
"8480","RAE1"
"10055","SAE1"
"1147","CHUK"
"3690","ITGB3"
"286514","MAGEB18"
"9607","CARTPT"
"1272","CNTN1"
"6257","RXRB"
"57336","ZNF287"
"4782","NFIC"
"163","AP2B1"
"201134","CEP112"
"55696","RBM22"
"128178","EDARADD"
"10668","CGRRF1"
"90338","ZNF160"
"81887","LAS1L"
"51335","NGRN"
"55676","SLC30A6"
"9046","DOK2"
"5269","SERPINB6"
"100506012","PPP5D1"
"153","ADRB1"
"652966","SNORD10"
"157310","PEBP4"
"51276","ZNF571"
"1582","CYP8B1"
"79612","NAA16"
"23076","RRP1B"
"285489","DOK7"
"285429","DCAF4L1"
"285093","RTP5"
"120939","TMEM52B"
"7195","TRNAG1"
"3198","HOXA1"
"6224","RPS20"
"115817","DHRS1"
"51054","PLEKHA8P1"
"10459","MAD2L2"
"64110","MAGEF1"
"654231","OCM"
"653067","XAGE1E"
"6614","SIGLEC1"
"1528","CYB5A"
"7355","SLC35A2"
"149840","C20orf196"
"57045","TWSG1"
"5157","PDGFRL"
"54915","YTHDF1"
"30851","TAX1BP3"
"84809","CROCCP2"
"1827","RCAN1"
"7837","PXDN"
"6368","CCL23"
"6678","SPARC"
"581","BAX"
"3788","KCNS2"
"9211","LGI1"
"84332","DYDC2"
"5875","RABGGTA"
"441639","OR9K2"
"9816","URB2"
"84296","GINS4"
"4593","MUSK"
"83473","KATNAL2"
"56109","PCDHGA6"
"1959","EGR2"
"55283","MCOLN3"
"219960","OR10Q1"
"7009","TMBIM6"
"84874","ZNF514"
"284382","ACTL9"
"3361","HTR5A"
"2901","GRIK5"
"55193","PBRM1"
"5651","TMPRSS15"
"1118","CHIT1"
"79085","SLC25A23"
"55814","BDP1"
"26127","FGFR1OP2"
"8886","DDX18"
"5579","PRKCB"
"8462","KLF11"
"260436","FDCSP"
"127281","FAM213B"
"6339","SCNN1D"
"390181","OR5AK2"
"1182","CLCN3"
"79363","RSG1"
"8086","AAAS"
"90204","ZSWIM1"
"348738","C2orf48"
"8216","LZTR1"
"64770","CCDC14"
"129530","LYG1"
"148156","ZNF558"
"100129583","FAM47E"
"10724","MGEA5"
"7291","TWIST1"
"219654","ZCCHC24"
"55850","USE1"
"23111","SPART"
"3754","KCNF1"
"4125","MAN2B1"
"494143","CHAC2"
"10948","STARD3"
"91689","SMDT1"
"23240","TMEM131L"
"10612","TRIM3"
"84727","SPSB2"
"84218","TBC1D3F"
"25850","ZNF345"
"29095","ORMDL2"
"23033","DOPEY1"
"146330","FBXL16"
"10199","MPHOSPH10"
"80122","MAP3K19"
"2626","GATA4"
"84288","EFCAB2"
"7011","TEP1"
"5141","PDE4A"
"6870","TACR3"
"51000","SLC35B3"
"6629","SNRPB2"
"205","AK4"
"5578","PRKCA"
"5542","PRB1"
"221044","UCMA"
"645345","CHCHD2P9"
"51085","MLXIPL"
"7473","WNT3"
"51535","PPHLN1"
"79190","IRX6"
"121355","GTSF1"
"3148","HMGB2"
"5687","PSMA6"
"84527","ZNF559"
"84135","UTP15"
"4107","MAGEA8"
"167410","LIX1"
"55770","EXOC2"
"53632","PRKAG3"
"55738","ARFGAP1"
"390437","OR4N5"
"63904","DUSP21"
"26576","SRPK3"
"83902","KRTAP17-1"
"10743","RAI1"
"55127","HEATR1"
"2972","BRF1"
"6936","GCFC2"
"442444","FAM47C"
"8694","DGAT1"
"9213","XPR1"
"51444","RNF138"
"158038","LINGO2"
"5518","PPP2R1A"
"127579","DCST2"
"23326","USP22"
"10327","AKR1A1"
"22885","ABLIM3"
"91875","TTC5"
"100129387","GABPB1-AS1"
"11309","SLCO2B1"
"4705","NDUFA10"
"100302090","DDX11L8"
"28965","SLC27A6"
"22841","RAB11FIP2"
"55504","TNFRSF19"
"6423","SFRP2"
"7048","TGFBR2"
"66035","SLC2A11"
"56105","PCDHGA11"
"26502","NARF"
"9462","RASAL2"
"79819","WDR78"
"284129","SLC26A11"
"284541","CYP4A22"
"55327","LIN7C"
"375337","TOPAZ1"
"199870","FAM76A"
"51107","APH1A"
"26","AOC1"
"79730","NSUN7"
"65243","ZFP69B"
"54877","ZCCHC2"
"63939","FAM217B"
"378884","NHLRC1"
"4173","MCM4"
"27131","SNX5"
"85007","PHYKPL"
"8089","YEATS4"
"255252","LRRC57"
"79659","DYNC2H1"
"146325","PRR35"
"54432","YIPF1"
"200504","GKN2"
"79607","FAM118B"
"2649","NR6A1"
"9867","PJA2"
"57135","DAZ4"
"90737","PAGE5"
"220001","VWCE"
"133957","CCDC127"
"81669","CCNL2"
"51225","ABI3"
"114769","CARD16"
"51257","MARCH2"
"3783","KCNN4"
"729830","FAM160A1"
"150209","AIFM3"
"57528","KCTD16"
"345274","SLC10A6"
"51725","FBXO40"
"56098","PCDHGC4"
"284958","NT5DC4"
"387751","GVINP1"
"153328","SLC25A48"
"26468","LHX6"
"9972","NUP153"
"6714","SRC"
"25818","KLK5"
"90987","ZNF251"
"345062","PRSS48"
"6155","RPL27"
"10331","B3GNT3"
"57085","AGTRAP"
"2880","GPX5"
"10144","FAM13A"
"57169","ZNFX1"
"10531","PITRM1"
"23677","SH3BP4"
"5678","PSG9"
"51192","CKLF"
"55210","ATAD3A"
"642968","FAM163B"
"79925","SPEF2"
"8761","PABPC4"
"80127","BBOF1"
"25923","ATL3"
"57533","TBC1D14"
"280","AMY2B"
"6449","SGTA"
"2677","GGCX"
"116842","LEAP2"
"23641","LDOC1"
"4224","MEP1A"
"23283","CSTF2T"
"51","ACOX1"
"6915","TBXA2R"
"81788","NUAK2"
"112817","HOGA1"
"65977","PLEKHA3"
"440050","KRTAP5-7"
"80758","PRR7"
"6929","TCF3"
"677776","SCARNA8"
"26281","FGF20"
"54542","RC3H2"
"92822","ZNF276"
"124454","EARS2"
"388122","RPSAP55"
"83694","RPS6KL1"
"54969","HPF1"
"3835","KIF22"
"648","BMI1"
"2734","GLG1"
"403277","OR5K3"
"8818","DPM2"
"3451","IFNA17"
"25962","VIRMA"
"3595","IL12RB2"
"10476","ATP5H"
"154386","LINC01600"
"4685","NCAM2"
"3073","HEXA"
"162461","TMEM92"
"759","CA1"
"9889","ZBED4"
"5442","POLRMT"
"53827","FXYD5"
"7384","UQCRC1"
"140606","SELENOM"
"55749","CCAR1"
"2317","FLNB"
"4830","NME1"
"56943","ENY2"
"7782","SLC30A4"
"2739","GLO1"
"58500","ZNF250"
"414236","C10orf55"
"133686","NADK2"
"5880","RAC2"
"6752","SSTR2"
"6376","CX3CL1"
"48","ACO1"
"57463","AMIGO1"
"55259","CASC1"
"63941","NECAB3"
"5775","PTPN4"
"26167","PCDHB5"
"286207","CFAP157"
"53832","IL20RA"
"9785","DHX38"
"28999","KLF15"
"85450","ITPRIP"
"84798","C19orf48"
"7483","WNT9A"
"23397","NCAPH"
"8996","NOL3"
"55301","OLAH"
"10311","DSCR3"
"23348","DOCK9"
"121364","OR10A7"
"5673","PSG5"
"3556","IL1RAP"
"347517","RAB41"
"7462","LAT2"
"4109","MAGEA10"
"121006","FAM186A"
"1191","CLU"
"80094","BIN3-IT1"
"11108","PRDM4"
"51181","DCXR"
"1716","DGUOK"
"85452","CFAP74"
"55717","WDR11"
"5868","RAB5A"
"55666","NPLOC4"
"7349","UCN"
"83394","PITPNM3"
"9925","ZBTB5"
"219285","SAMD9L"
"151903","CCDC12"
"153364","MBLAC2"
"168975","CNBD1"
"144110","TMEM86A"
"83896","KRTAP3-1"
"11025","LILRB3"
"56479","KCNQ5"
"28962","OSTM1"
"6860","SYT4"
"199","AIF1"
"94240","EPSTI1"
"282973","JAKMIP3"
"8603","FAM193A"
"27440","HDHD5"
"55914","ERBIN"
"441208","ZNRF2P1"
"4905","NSF"
"284069","FAM171A2"
"5718","PSMD12"
"29097","CNIH4"
"64599","GIGYF1"
"5090","PBX3"
"3875","KRT18"
"3645","INSRR"
"57130","ATP13A1"
"2275","FHL3"
"126206","NLRP5"
"79849","PDZD3"
"84614","ZBTB37"
"65987","KCTD14"
"7143","TNR"
"9563","H6PD"
"91056","AP5B1"
"8518","ELP1"
"23291","FBXW11"
"9900","SV2A"
"51293","CD320"
"2058","EPRS"
"125965","COX6B2"
"84945","ABHD13"
"3211","HOXB1"
"3800","KIF5C"
"2638","GC"
"100129792","CCDC152"
"11264","PXMP4"
"6303","SAT1"
"3758","KCNJ1"
"64240","ABCG5"
"30846","EHD2"
"54840","APTX"
"6271","S100A1"
"6362","CCL18"
"51206","GP6"
"338","APOB"
"79595","SAP130"
"132430","PABPC4L"
"57827","C6orf47"
"23768","FLRT2"
"50515","CHST11"
"5357","PLS1"
"9569","GTF2IRD1"
"126070","ZNF440"
"83605","CCM2"
"26032","SUSD5"
"284428","MBD3L5"
"10961","ERP29"
"246269","AFG1L"
"10522","DEAF1"
"53828","FXYD4"
"84058","WDR54"
"89778","SERPINB11"
"283659","PRTG"
"6128","RPL6"
"163255","ZNF540"
"2277","VEGFD"
"94086","HSPB9"
"192683","SCAMP5"
"255027","MPV17L"
"337974","KRTAP19-7"
"389208","TMPRSS11F"
"8832","CD84"
"55720","TSR1"
"7673","ZNF222"
"57104","PNPLA2"
"5264","PHYH"
"11280","SCN11A"
"64222","TOR3A"
"148641","SLC35F3"
"53838","C11orf24"
"134553","C5orf24"
"60672","MIIP"
"10234","LRRC17"
"115209","OMA1"
"64321","SOX17"
"79310","OR5H2"
"339145","FAM92B"
"23369","PUM2"
"283417","DPY19L2"
"10664","CTCF"
"1786","DNMT1"
"22796","COG2"
"643246","MAP1LC3B2"
"60509","AGBL5"
"10788","IQGAP2"
"342510","CD300E"
"7472","WNT2"
"8835","SOCS2"
"84108","PCGF6"
"401398","POT1-AS1"
"339799","EIF3FP3"
"3780","KCNN1"
"135941","OR2A14"
"5002","SLC22A18"
"90427","BMF"
"10808","HSPH1"
"83551","TAAR8"
"55117","SLC6A15"
"5544","PRB3"
"29118","DDX25"
"84722","PSRC1"
"83468","GLT8D2"
"9556","C14orf2"
"79685","SAP30L"
"54477","PLEKHA5"
"2221","FCP1"
"4675","NAP1L3"
"22949","PTGR1"
"2152","F3"
"7399","USH2A"
"4094","MAF"
"54680","ZNHIT6"
"10133","OPTN"
"55780","ERMARD"
"83862","TMEM120A"
"9792","SERTAD2"
"10309","CCNO"
"339745","SPOPL"
"51126","NAA20"
"57616","TSHZ3"
"147694","ZNF548"
"721","C4B"
"7879","RAB7A"
"4609","MYC"
"80304","WDCP"
"51171","HSD17B14"
"4135","MAP6"
"23446","SLC44A1"
"2621","GAS6"
"1820","ARID3A"
"57455","REXO1"
"57643","ZSWIM5"
"7913","DEK"
"222611","ADGRF2"
"3791","KDR"
"83480","PUS3"
"57544","TXNDC16"
"7465","WEE1"
"79675","FASTKD1"
"57567","ZNF319"
"57569","ARHGAP20"
"85302","FBF1"
"65220","NADK"
"26128","KIF1BP"
"3218","HOXB8"
"54888","NSUN2"
"63027","SLC22A23"
"79631","EFL1"
"2562","GABRB3"
"4000","LMNA"
"79966","SCD5"
"8926","SNURF"
"11339","OIP5"
"55799","CACNA2D3"
"23251","KIAA1024"
"84885","ZDHHC12"
"677826","SNORA3B"
"51602","NOP58"
"6809","STX3"
"23521","RPL13A"
"51440","HPCAL4"
"886","CCKAR"
"55303","GIMAP4"
"285679","C5orf60"
"2146","EZH2"
"267002","PGBD2"
"6209","RPS15"
"5803","PTPRZ1"
"373","TRIM23"
"220963","SLC16A9"
"10457","GPNMB"
"9473","THEMIS2"
"3782","KCNN3"
"152789","JAKMIP1"
"58527","ABRACL"
"4162","MCAM"
"80705","TSGA10"
"27201","GPR78"
"2952","GSTT1"
"126298","IRGQ"
"9814","SFI1"
"55252","ASXL2"
"6232","RPS27"
"9794","MAML1"
"130827","TMEM182"
"9457","FHL5"
"5272","SERPINB9"
"84233","TMEM126A"
"54797","MED18"
"256933","NPB"
"3703","STT3A"
"112755","STX1B"
"56100","PCDHGB6"
"8834","TMEM11"
"10390","CEPT1"
"9701","PPP6R2"
"4802","NFYC"
"1474","CST6"
"8528","DDO"
"57835","SLC4A5"
"84698","CAPS2"
"10916","MAGED2"
"4012","LNPEP"
"4990","SIX6"
"9320","TRIP12"
"57452","GALNT16"
"201191","SAMD14"
"10623","POLR3C"
"23169","SLC35D1"
"835","CASP2"
"144811","LACC1"
"158809","MAGEB6"
"165215","FAM171B"
"402415","XKRX"
"3053","SERPIND1"
"79947","DHDDS"
"6733","SRPK2"
"2571","GAD1"
"645121","CCNI2"
"144455","E2F7"
"51575","ESF1"
"2044","EPHA5"
"406891","MIRLET7I"
"2256","FGF11"
"8897","MTMR3"
"140469","MYO3B"
"22987","SV2C"
"56648","EIF5A2"
"9898","UBAP2L"
"286042","FAM86B3P"
"4210","MEFV"
"55007","FAM118A"
"55885","LMO3"
"51202","DDX47"
"84656","GLYR1"
"55150","C19orf73"
"79792","GSDMD"
"23381","SMG5"
"11097","NUPL2"
"5929","RBBP5"
"140733","MACROD2"
"10514","MYBBP1A"
"6879","TAF7"
"83990","BRIP1"
"166968","MIER3"
"23432","GPR161"
"150737","TTC30B"
"8493","PPM1D"
"23046","KIF21B"
"140683","BPIFA2"
"159163","RBMY1F"
"389073","C2orf80"
"25817","FAM19A5"
"387267","KRTAP5-4"
"79903","NAA60"
"283093","OR4C12"
"7718","ZNF165"
"6804","STX1A"
"5924","RASGRF2"
"291","SLC25A4"
"3728","JUP"
"2178","FANCE"
"56910","STARD7"
"8558","CDK10"
"51095","TRNT1"
"7916","PRRC2A"
"339168","TMEM95"
"577","ADGRB3"
"55743","CHFR"
"23512","SUZ12"
"9928","KIF14"
"6170","RPL39"
"2999","GZMH"
"7224","TRPC5"
"90362","FAM110B"
"93587","TRMT10A"
"2679","GGT3P"
"4674","NAP1L2"
"1135","CHRNA2"
"785","CACNB4"
"6383","SDC2"
"30011","SH3KBP1"
"200539","ANKRD23"
"51765","STK26"
"3190","HNRNPK"
"4684","NCAM1"
"9027","NAT8"
"203413","CT83"
"64131","XYLT1"
"219447","OR5AS1"
"10475","TRIM38"
"146310","RNF151"
"6755","SSTR5"
"58478","ENOPH1"
"54482","TRMT13"
"215","ABCD1"
"79168","LILRA6"
"390664","C1QTNF8"
"5653","KLK6"
"8569","MKNK1"
"28992","MACROD1"
"22911","WDR47"
"400961","PAIP2B"
"9255","AIMP1"
"51560","RAB6B"
"27250","PDCD4"
"79812","MMRN2"
"3762","KCNJ5"
"132864","CPEB2"
"1142","CHRNB3"
"83460","EMC6"
"4325","MMP16"
"7439","BEST1"
"8973","CHRNA6"
"54751","FBLIM1"
"55180","LINS1"
"51101","ZC2HC1A"
"57699","CPNE5"
"10690","FUT9"
"4330","MN1"
"4855","NOTCH4"
"5077","PAX3"
"6183","MRPS12"
"57501","KIAA1257"
"83998","REG4"
"152098","ZCWPW2"
"4868","NPHS1"
"140823","ROMO1"
"5178","PEG3"
"339761","CYP27C1"
"112744","IL17F"
"90316","TGIF2LX"
"10811","NOXA1"
"1990","CELA1"
"3538","IGLC2"
"23743","BHMT2"
"57001","SDHAF3"
"339229","OXLD1"
"3201","HOXA4"
"132299","OCIAD2"
"84502","JPH4"
"284338","PRR19"
"254786","OR6C3"
"1733","DIO1"
"83592","AKR1E2"
"27106","ARRDC2"
"219965","OR5B17"
"9851","KIAA0753"
"51088","KLHL5"
"389434","IYD"
"79573","TTC13"
"55784","MCTP2"
"317662","FAM149B1"
"5426","POLE"
"94115","CGB8"
"56674","TMEM9B"
"27175","TUBG2"
"84539","MCHR2"
"126432","RINL"
"55190","NUDT11"
"132884","EVC2"
"64386","MMP25"
"401505","TOMM5"
