"SYMBOL","ENTREZID"
"AGPAT4","56895"
"AGPAT5","55326"
"AGPAT6",NA
"AGPAT7",NA
"AGPS","8540"
"AGR2","10551"
"AGRN","375790"
"AGRP","181"
"AGT","183"
"AGTPBP1","23287"
"AGTR1","185"
"AGTR2","186"
"AGTRAP","57085"
"AGTRL1",NA
"AGXT","189"
"AGXT2","64902"
"AGXT2L1",NA
"AHCTF1","25909"
"AHCTF1P",NA
"AHCY","191"
"AHCYL1","10768"
"AHDC1","27245"
"AHI1","54806"
"AHNAK","79026"
"AHR","196"
"AHRR","57491"
"AHSA1","10598"
"AHSA2","130872"
"AHSG","197"
"AICDA","57379"
"AIF1","199"
"AIFL",NA
"AIG1","51390"
"AIM1",NA
"AIM1L",NA
"AIM2","9447"
"AIP","9049"
"AIPL1","23746"
"AIRE","326"
"AJAP1","55966"
"AK1","203"
"AK2","204"
"AK3","50808"
"AK3L1",NA
"AK3L2",NA
"AK5","26289"
"AK7","122481"
"AKAP1","8165"
"AKAP10","11216"
"AKAP11","11215"
"AKAP12","9590"
"AKAP13","11214"
"AKAP14","158798"
"AKAP2","11217"
"AKAP3","10566"
"AKAP4","8852"
"AKAP5","9495"
"AKAP6","9472"
"AKAP7","9465"
"AKAP8","10270"
"AKAP8L","26993"
"AKAP9","10142"
"AKNA","80709"
"AKR1A1","10327"
"AKR1B1","231"
"AKR1B10","57016"
"AKR1C1","1645"
"AKR1C2","1646"
"AKR1C3","8644"
"AKR1C4","1109"
"AKR1CL1",NA
"AKR1CL2",NA
"AKR1D1","6718"
"AKR7A2","8574"
"AKR7A3","22977"
"AKT1","207"
"AKT1S1","84335"
"AKT2","208"
"AKT3","10000"
"ALAD","210"
"ALAS1","211"
"ALAS2","212"
"ALB","213"
"ALCAM","214"
"ALDH16A1","126133"
"ALDH18A1","5832"
"ALDH1A1","216"
"ALDH1A2","8854"
"ALDH1A3","220"
"ALDH1B1","219"
"ALDH1L1","10840"
"ALDH1L2","160428"
"ALDH2","217"
"ALDH3A1","218"
"ALDH3A2","224"
"ALDH3B1","221"
"ALDH3B2","222"
"ALDH4A1","8659"
"ALDH5A1","7915"
"ALDH6A1","4329"
"ALDH7A1","501"
"ALDH8A1","64577"
"ALDH9A1","223"
"ALDOA","226"
"ALDOAP1","391538"
"ALDOAP2","228"
"ALDOB","229"
"ALDOC","230"
"ALF",NA
"ALG1","56052"
"ALG10","84920"
"ALG12","79087"
"ALG14","199857"
"ALG2","85365"
"ALG3","10195"
"ALG5","29880"
"ALG6","29929"
"ALG8","79053"
"ALG9","79796"
"ALK","238"
"ALKBH1","8846"
"ALKBH2","121642"
"ALKBH3","221120"
"ALKBH4","54784"
"ALKBH5","54890"
"ALKBH6","84964"
"ALKBH7","84266"
"ALKBH8","91801"
"ALLC","55821"
"ALMS1","7840"
"ALOX12","239"
"ALOX12B","242"
"ALOX12P2","245"
"ALOX15","246"
"ALOX15B","247"
"ALOX5","240"
"ALOX5AP","241"
"ALOXE3","59344"
"ALPI","248"
"ALPK1","80216"
"ALPK2","115701"
"ALPK3","57538"
"ALPL","249"
"ALPP","250"
"ALPPL2","251"
"ALS2","57679"
"ALS2CL","259173"
"ALS2CR10",NA
"ALS2CR11",NA
"ALS2CR12","130540"
"ALS2CR13",NA
"ALS2CR14",NA
"ALS2CR15",NA
"ALS2CR16",NA
"ALS2CR19",NA
"ALS2CR2",NA
"ALS2CR4",NA
"ALS2CR7",NA
"ALS2CR8",NA
"ALX3","257"
"ALX4","60529"
"AMAC1",NA
"AMAC1L2",NA
"AMACR","23600"
"AMBN","258"
"AMBP","259"
"AMD1","262"
"AMDHD1","144193"
"AMDHD2","51005"
"AMELX","265"
"AMELY","266"
"AMFR","267"
"AMH","268"
"AMHR2","269"
"AMICA1",NA
"AMID",NA
"AMIGO1","57463"
"AMIGO2","347902"
"AMIGO3","386724"
"AMMECR1","9949"
"AMN","81693"
"AMOT","154796"
"AMOTL1","154810"
"AMOTL2","51421"
"AMPD1","270"
"AMPD2","271"
"AMPD3","272"
"AMPH","273"
"AMT","275"
"AMY1A","276"
"AMY1B","277"
"AMY1C","278"
"AMY2A","279"
"AMY2B","280"
"AMZ1","155185"
"AMZ2","51321"
"ANAPC1","64682"
"ANAPC10","10393"
"ANAPC11","51529"
"ANAPC13","25847"
"ANAPC2","29882"
"ANAPC4","29945"
"ANAPC5","51433"
"ANAPC7","51434"
"ANG","283"
"ANGEL1","23357"
"ANGEL2","90806"
"ANGPT1","284"
"ANGPT2","285"
"ANGPT4","51378"
"ANGPTL1","9068"
"ANGPTL2","23452"
"ANGPTL3","27329"
"ANGPTL4","51129"
"ANGPTL5","253935"
"ANGPTL6","83854"
"ANGPTL7","10218"
"ANK1","286"
"ANK2","287"
"ANK3","288"
"ANKDD1A","348094"
"ANKDD1B","728780"
"ANKFN1","162282"
"ANKFY1","51479"
"ANKH","56172"
"ANKHD1","54882"
"ANKIB1","54467"
"ANKK1","255239"
"ANKMY1","51281"
"ANKMY2","57037"
"ANKRA2","57763"
"ANKRD1","27063"
"ANKRD10","55608"
"ANKRD11","29123"
"ANKRD12","23253"
"ANKRD13",NA
"ANKRD13B","124930"
"ANKRD13C","81573"
"ANKRD13D","338692"
"ANKRD15",NA
"ANKRD16","54522"
"ANKRD17","26057"
"ANKRD18A","253650"
"ANKRD18B","441459"
"ANKRD19",NA
"ANKRD2","26287"
"ANKRD20A1","84210"
"ANKRD20B",NA
"ANKRD21",NA
"ANKRD22","118932"
"ANKRD23","200539"
"ANKRD24","170961"
"ANKRD25",NA
"ANKRD26","22852"
"ANKRD27","84079"
"ANKRD28","23243"
"ANKRD29","147463"
"ANKRD30A","91074"
"ANKRD30B","374860"
"ANKRD31","256006"
"ANKRD32",NA
"ANKRD33","341405"
"ANKRD34",NA
"ANKRD35","148741"
"ANKRD36","375248"
"ANKRD37","353322"
"ANKRD38",NA
"ANKRD39","51239"
"ANKRD40","91369"
"ANKRD41",NA
"ANKRD42","338699"
"ANKRD43",NA
"ANKRD44","91526"
"ANKRD45","339416"
"ANKRD46","157567"
"ANKRD47",NA
"ANKRD49","54851"
"ANKRD5",NA
"ANKRD50","57182"
"ANKRD52","283373"
"ANKRD6","22881"
"ANKRD7","56311"
"ANKRD9","122416"
"ANKS1A","23294"
"ANKS1B","56899"
"ANKS3","124401"
"ANKS4B","257629"
"ANKS6","203286"
"ANKZF1","55139"
"ANLN","54443"
"ANP32A","8125"
"ANP32B","10541"
"ANP32C","23520"
"ANP32D","23519"
"ANP32E","81611"
"ANP32F",NA
"ANPEP","290"
"ANTXR1","84168"
"ANTXR2","118429"
"ANTXRL","195977"
"ANUBL1",NA
"ANXA1","301"
"ANXA10","11199"
"ANXA11","311"
"ANXA13","312"
"ANXA2","302"
"ANXA2P1","303"
"ANXA2P2","304"
"ANXA2P3","305"
"ANXA3","306"
"ANXA4","307"
"ANXA5","308"
"ANXA6","309"
"ANXA7","310"
"ANXA8","653145"
"ANXA9","8416"
"AOAH","313"
"AOC2","314"
"AOC3","8639"
"AOF1",NA
"AOF2",NA
"AOX1","316"
"AOX2",NA
"AP1B1","162"
"AP1G1","164"
"AP1G2","8906"
"AP1GBP1",NA
"AP1M1","8907"
"AP1M2","10053"
"AP1S1","1174"
"AP1S2","8905"
"AP1S3","130340"
"AP2A1","160"
"AP2A2","161"
"AP2B1","163"
"AP2M1","1173"
"AP2S1","1175"
"AP3B1","8546"
"AP3B2","8120"
"AP3D1","8943"
"AP3M1","26985"
"AP3M2","10947"
"AP3S1","1176"
"AP3S2","10239"
"AP4B1","10717"
"AP4E1","23431"
"AP4M1","9179"
"AP4S1","11154"
"APAF1","317"
"APBA1","320"
"APBA2","321"
"APBA2BP",NA
"APBA3","9546"
"APBB1","322"
"APBB1IP","54518"
"APBB2","323"
"APBB3","10307"
"APC","324"
"APC2","10297"
"APCDD1","147495"
"APCS","325"
"APEG1",NA
"APEH","327"
"APEX1","328"
"APEX2","27301"
"APH1A","51107"
"APH1B","83464"
"API5","8539"
"APIN",NA
"APIP","51074"
"APITD1",NA
"APLN","8862"
"APLP1","333"
"APLP2","334"
"APOA1","335"
"APOA1BP",NA
"APOA2","336"
"APOA4","337"
"APOA5","116519"
"APOB","338"
"APOB48R",NA
"APOBEC1","339"
"APOBEC2","10930"
"APOBEC3A","200315"
"APOBEC3B","9582"
"APOBEC3C","27350"
"APOBEC3D","140564"
"APOBEC3F","200316"
"APOBEC3G","60489"
"APOBEC4","403314"
"APOC1","341"
"APOC2","344"
"APOC3","345"
"APOC4","346"
"APOD","347"
"APOE","348"
"APOF","319"
"APOH","350"
"APOL1","8542"
"APOL2","23780"
"APOL3","80833"
"APOL4","80832"
"APOL5","80831"
"APOL6","80830"
"APOLD1","81575"
"APOM","55937"
"APP","351"
"APPBP1",NA
"APPBP2","10513"
"APPL",NA
"APRIN",NA
"APRT","353"
"APS",NA
"APTX","54840"
"APXL",NA
"APXL2",NA
"AQP1","358"
"AQP10","89872"
"AQP11","282679"
"AQP12A","375318"
"AQP12B","653437"
"AQP2","359"
"AQP3","360"
"AQP4","361"
"AQP5","362"
"AQP6","363"
"AQP7","364"
"AQP7P1","375719"
"AQP7P2","389756"
"AQP8","343"
"AQP9","366"
"AQR","9716"
"AR","367"
"ARAF","369"
"ARC","23237"
"ARCN1","372"
"ARD1A",NA
"AREG","374"
"ARF1","375"
"ARF1P1","442334"
"ARF2",NA
"ARF3","377"
"ARF4","378"
"ARF4P3","390423"
"ARF5","381"
"ARF6","382"
"ARFGAP1","55738"
"ARFGAP3","26286"
"ARFGEF1","10565"
"ARFGEF2","10564"
"ARFIP1","27236"
"ARFIP2","23647"
"ARFRP1","10139"
"ARG1","383"
"ARG2","384"
"ARHGAP1","392"
"ARHGAP10","79658"
"ARHGAP11A","9824"
"ARHGAP12","94134"
"ARHGAP15","55843"
"ARHGAP17","55114"
"ARHGAP18","93663"
"ARHGAP19","84986"
"ARHGAP20","57569"
"ARHGAP21","57584"
"ARHGAP22","58504"
"ARHGAP23","57636"
"ARHGAP24","83478"
"ARHGAP25","9938"
"ARHGAP26","23092"
"ARHGAP27","201176"
"ARHGAP28","79822"
"ARHGAP29","9411"
"ARHGAP30","257106"
"ARHGAP4","393"
"ARHGAP5","394"
"ARHGAP6","395"
"ARHGAP8","23779"
"ARHGAP9","64333"
"ARHGDIA","396"
"ARHGDIB","397"
"ARHGDIG","398"
"ARHGEF1","9138"
"ARHGEF10","9639"
"ARHGEF10L","55160"
"ARHGEF11","9826"
"ARHGEF12","23365"
"ARHGEF15","22899"
"ARHGEF16","27237"
"ARHGEF17","9828"
"ARHGEF18","23370"
"ARHGEF19","128272"
"ARHGEF2","9181"
"ARHGEF3","50650"
"ARHGEF4","50649"
"ARHGEF5","7984"
"ARHGEF6","9459"
"ARHGEF7","8874"
"ARHGEF9","23229"
"ARID1A","8289"
"ARID1B","57492"
"ARID2","196528"
"ARID3A","1820"
"ARID3B","10620"
"ARID3C","138715"
"ARID4A","5926"
"ARID4B","51742"
"ARID5A","10865"
"ARID5B","84159"
"ARIH1","25820"
"ARIH2","10425"
"ARL1","400"
"ARL10","285598"
"ARL11","115761"
"ARL13A","392509"
"ARL13B","200894"
"ARL14","80117"
"ARL15","54622"
"ARL16","339231"
"ARL17P1",NA
"ARL2","402"
"ARL2BP","23568"
"ARL3","403"
"ARL4A","10124"
"ARL4C","10123"
"ARL4D","379"
"ARL4P",NA
"ARL5A","26225"
"ARL5B","221079"
"ARL5C","390790"
"ARL6","84100"
"ARL6IP",NA
"ARL6IP2",NA
"ARL6IP4","51329"
"ARL6IP5","10550"
"ARL6IP6","151188"
"ARL8A","127829"
"ARL8B","55207"
"ARL9","132946"
"ARMC1","55156"
"ARMC2","84071"
"ARMC3","219681"
"ARMC4","55130"
"ARMC5","79798"
"ARMC6","93436"
"ARMC7","79637"
"ARMC8","25852"
"ARMC9","80210"
"ARMCX1","51309"
"ARMCX2","9823"
"ARMCX3","51566"
"ARMCX4","100131755"
"ARMCX5","64860"
"ARMCX6","54470"
"ARMET",NA
"ARMETL1",NA
"ARNT","405"
"ARNT2","9915"
"ARNTL","406"
"ARNTL2","56938"
"ARPC1A","10552"
"ARPC1B","10095"
"ARPC2","10109"
"ARPC3","10094"
"ARPC4","10093"
"ARPC5","10092"
"ARPC5L","81873"
"ARPM1",NA
"ARPP-19",NA
"ARPP-21",NA
"ARR3","407"
"ARRB1","408"
"ARRB2","409"
"ARRDC1","92714"
"ARRDC2","27106"
"ARRDC3","57561"
"ARRDC4","91947"
"ARS2",NA
"ARSA","410"
"ARSB","411"
"ARSD","414"
"ARSE","415"
"ARSF","416"
"ARSG","22901"
"ARSH","347527"
"ARSI","340075"
"ARSJ","79642"
"ARSK","153642"
"ART1","417"
"ART3","419"
"ART4","420"
"ART5","116969"
"ARTN","9048"
"ARTS-1",NA
"ARV1","64801"
"ARVCF","421"
"ARX","170302"
"AS3MT","57412"
"ASAH1","427"
"ASAH2","56624"
"ASAH3",NA
"ASAH3L",NA
"ASAHL",NA
"ASAM",NA
"ASAP",NA
"ASB1","51665"
"ASB10","136371"
"ASB11","140456"
"ASB12","142689"
"ASB13","79754"
"ASB14","142686"
"ASB15","142685"
"ASB16","92591"
"ASB17","127247"
"ASB2","51676"
"ASB3","51130"
"ASB4","51666"
"ASB5","140458"
"ASB6","140459"
"ASB7","140460"
"ASB8","140461"
"ASB9","140462"
"ASCC1","51008"
"ASCC2","84164"
"ASCC3","10973"
"ASCC3L1",NA
"ASCIZ",NA
"ASCL1","429"
"ASCL2","430"
"ASCL3","56676"
"ASCL4","121549"
"ASF1A","25842"
"ASF1B","55723"
"ASGR1","432"
"ASGR2","433"
"ASH1L","55870"
"ASH2L","9070"
"ASIP","434"
"ASL","435"
"ASMT","438"
"ASMTL","8623"
"ASNA1","439"
"ASNS","440"
"ASNSD1","54529"
"ASPA","443"
"ASPH","444"
"ASPHD1","253982"
"ASPHD2","57168"
"ASPM","259266"
"ASPN","54829"
"ASPSCR1","79058"
"ASRGL1","80150"
"ASS",NA
"ASTE1","28990"
"ASTN",NA
"ASTN2","23245"
"ASXL1","171023"
"ASXL2","55252"
"ASZ1","136991"
"ATAD1","84896"
"ATAD2","29028"
"ATAD3A","55210"
"ATAD3B","83858"
"ATAD3C","219293"
"ATAD4",NA
"ATBF1",NA
"ATCAY","85300"
"ATE1","11101"
"ATF1","466"
"ATF2","1386"
"ATF3","467"
"ATF4","468"
"ATF5","22809"
"ATF6","22926"
"ATF7","11016"
"ATF7IP","55729"
"ATF7IP2","80063"
"ATG10","83734"
"ATG12","9140"
"ATG16L1","55054"
"ATG16L2","89849"
"ATG3","64422"
"ATG4A","115201"
"ATG4B","23192"
"ATG4C","84938"
"ATG4D","84971"
"ATG5","9474"
"ATG7","10533"
"ATG9A","79065"
"ATG9B","285973"
"ATHL1",NA
"ATIC","471"
"ATM","472"
"ATN1","1822"
"ATOH1","474"
"ATOH7","220202"
"ATOH8","84913"
"ATOX1","475"
"ATP10A","57194"
"ATP10B","23120"
"ATP10D","57205"
"ATP11A","23250"
"ATP11B","23200"
"ATP11C","286410"
"ATP12A","479"
"ATP13A1","57130"
"ATP13A2","23400"
"ATP13A3","79572"
"ATP13A4","84239"
"ATP13A5","344905"
"ATP1A1","476"
"ATP1A2","477"
"ATP1A3","478"
"ATP1A4","480"
"ATP1B1","481"
"ATP1B2","482"
"ATP1B3","483"
"ATP1B4","23439"
"ATP2A1","487"
"ATP2A2","488"
"ATP2A3","489"
"ATP2B1","490"
"ATP2B2","491"
"ATP2B3","492"
"ATP2B4","493"
"ATP2C1","27032"
"ATP4A","495"
"ATP4B","496"
"ATP5A1","498"
"ATP5B","506"
"ATP5C1","509"
"ATP5C2",NA
"ATP5D","513"
"ATP5E","514"
"ATP5F1","515"
"ATP5G1","516"
"ATP5G2","517"
"ATP5G3","518"
"ATP5H","10476"
"ATP5I","521"
"ATP5J","522"
"ATP5J2","9551"
"ATP5L","10632"
"ATP5L2","267020"
"ATP5O","539"
"ATP5S","27109"
"ATP6","4508"
"ATP6AP1","537"
"ATP6AP2","10159"
"ATP6V0A1","535"
"ATP6V0A2","23545"
"ATP6V0A4","50617"
"ATP6V0B","533"
"ATP6V0C","527"
"ATP6V0D1","9114"
"ATP6V0D2","245972"
"ATP6V0E",NA
"ATP6V0E2L",NA
"ATP6V1A","523"
"ATP6V1B1","525"
"ATP6V1B2","526"
"ATP6V1C1","528"
"ATP6V1C2","245973"
"ATP6V1D","51382"
"ATP6V1E1","529"
"ATP6V1E2","90423"
"ATP6V1F","9296"
"ATP6V1G1","9550"
"ATP6V1G2","534"
"ATP6V1G3","127124"
"ATP6V1H","51606"
"ATP7A","538"
"ATP7B","540"
"ATP8","4509"
"ATP8A1","10396"
"ATP8A2","51761"
"ATP8B1","5205"
"ATP8B2","57198"
"ATP8B3","148229"
"ATP8B4","79895"
"ATP9A","10079"
"ATP9B","374868"
"ATPAF1","64756"
"ATPAF2","91647"
"ATPBD1B",NA
"ATPBD1C",NA
"ATPBD3",NA
"ATPBD4",NA
"ATPIF1","93974"
"ATR","545"
"ATRN","8455"
"ATRNL1","26033"
"ATRX","546"
"ATXN1","6310"
"ATXN10","25814"
"ATXN2","6311"
"ATXN2L","11273"
"ATXN3","4287"
"ATXN3L","92552"
"ATXN7","6314"
"ATXN7L1","222255"
"ATXN7L2","127002"
"ATXN7L3","56970"
"ATXN7L4",NA
"AUH","549"
"AUP1","550"
"AURKAIP1","54998"
"AURKB","9212"
"AURKC","6795"
"AUTS2","26053"
"AVEN","57099"
"AVIL","10677"
"AVP","551"
"AVPI1","60370"
"AVPR1A","552"
"AVPR1B","553"
"AVPR2","554"
"AXIN1","8312"
"AXIN2","8313"
"AXL","558"
"AXUD1",NA
"AYP1",NA
"AYP1p1",NA
"AYTL1",NA
"AYTL2",NA
"AZGP1","563"
"AZI1",NA
"AZI2","64343"
"AZIN1","51582"
"AZU1","566"
"B2M","567"
"B3GALNT2","148789"
"B3GALT1","8708"
"B3GALT2","8707"
"B3GALT3",NA
"B3GALT4","8705"
"B3GALT5","10317"
"B3GALT6","126792"
"B3GALT7",NA
"B3GAT1","27087"
"B3GAT2","135152"
"B3GAT3","26229"
"B3Gn-T6",NA
"B3GNT1",NA
"B3GNT3","10331"
"B3GNT4","79369"
"B3GNT5","84002"
"B3GNT6","192134"
"B3GNT7","93010"
"B3GNTL1","146712"
"B4GALNT1","2583"
"B4GALNT2","124872"
"B4GALNT3","283358"
"B4GALNT4","338707"
"B4GALT1","2683"
"B4GALT2","8704"
"B4GALT3","8703"
"B4GALT4","8702"
"B4GALT5","9334"
"B4GALT6","9331"
"B4GALT7","11285"
"bA395L14.13",NA
"bA9F11.1",NA
"BAALC","79870"
"BAAT","570"
"BACE1","23621"
"BACE2","25825"
"BACH1","571"
"BACH2","60468"
"BAD","572"
"BAG1","573"
"BAG2","9532"
"BAG3","9531"
"BAG4","9530"
"BAG5","9529"
"BAGE","574"
"BAGE2","85319"
"BAGE3","85318"
"BAGE4","85317"
"BAGE5","85316"
"BAHCC1","57597"
"BAHD1","22893"
"BAI1",NA
"BAI2",NA
"BAI3",NA
"BAIAP2","10458"
"BAIAP2L1","55971"
"BAIAP2L2","80115"
"BAIAP3","8938"
"BAK1","578"
"BAMBI","25805"
"BANF1","8815"
"BANK1","55024"
"BANP","54971"
"BAP1","8314"
"BAPX1",NA
"BARD1","580"
"BARHL1","56751"
"BARHL2","343472"
"BARX1","56033"
"BARX2","8538"
"BASP1","10409"
"BAT1",NA
"BAT2",NA
"BAT2D1",NA
"BAT3",NA
"BAT4",NA
"BAT5",NA
"BATF","10538"
"BATF2","116071"
"BAX","581"
"BAZ1A","11177"
"BAZ1B","9031"
"BAZ2A","11176"
"BAZ2B","29994"
"BBC3","27113"
"BBOX1","8424"
"BBS1","582"
"BBS2","583"
"BBS4","585"
"BBS5","129880"
"BBS7","55212"
"BBX","56987"
"BC002942",NA
"BC036928",NA
"BC37295_3",NA
"BCAM","4059"
"BCAN","63827"
"BCAP29","55973"
"BCAP31","10134"
"BCAR1","9564"
