"symbol1"	"symbol2"	"MF"
"THPO"	"CSF3R"	0.059
"THPO"	"STAT5A"	0.048
"THPO"	"IL7R"	0.055
"THPO"	"GP9"	0.095
"THPO"	"IL6R"	0.18
"THPO"	"CNTFR"	0.166
"THPO"	"AKT1"	0.086
"THPO"	"ITGA2B"	0.095
"THPO"	"CXCR4"	0.061
"THPO"	"ZFPM1"	0.058
"THPO"	"PF4"	0.255
"SEMA4G"	"OBSCN"	0.144
"PRRT1"	"EPPK1"	NA
"BCL7C"	"SMARCD3"	NA
"BCL7C"	"VPS37C"	NA
"NDUFB7"	"NDUFB10"	0.644
"NDUFB7"	"NDUFV1"	0.644
"NDUFB7"	"UQCRC2"	0.142
"NDUFB7"	"UQCRQ"	0.321
"NDUFB7"	"COX5A"	0.321
"NDUFB7"	"NDUFB11"	0
"NDUFB7"	"ZNHIT1"	0
"NDUFB7"	"ACAD9"	0.321
"NDUFB7"	"NDUFS7"	0.644
"NDUFB7"	"SDHC"	0.321
"NDUFB7"	"COX7C"	0.321
"NDUFB7"	"ATP5G1"	NA
"NDUFB7"	"NDUFA3"	0.644
"TIMM13"	"CAB39"	0.02
"TIMM13"	"CHCHD4"	0.023
"TIMM13"	"TMPRSS9"	NA
"TIMM13"	"ATP5G1"	NA
"TIMM13"	"TIMM8A"	0.046
"PDXP"	"ECE1"	0.171
"PDXP"	"SH3GL1"	0.058
"PDXP"	"MCL1"	0.056
"PDXP"	"AMBP"	0.043
"PDXP"	"COMP"	0.102
"PDXP"	"TH"	0.111
"PDXP"	"PPP2R4"	NA
"PDXP"	"NDP"	0.065
"PDXP"	"TYRO3"	0.103
"PDXP"	"TNFRSF10C"	0
"JOSD1"	"TIMM8A"	0.095
"NIPSNAP1"	"B3GAT3"	0.095
"NIPSNAP1"	"CHCHD2"	0.095
"TXN2"	"EEF2"	0.095
"TXN2"	"GLRX"	0.095
"TXN2"	"APEX2"	0
"TXN2"	"CLPP"	0.095
"TXN2"	"SEC61A1"	0.095
"TXN2"	"RPL8"	0.046
"TXN2"	"MDH2"	0.046
"TXN2"	"TXNRD2"	0.095
"EFS"	"CRK"	0.179
"GSS"	"TXNRD2"	0.089
"GSS"	"CNDP2"	0.142
"GSS"	"GLRX"	0.094
"GSS"	"GGT1"	0.094
"GSS"	"ALOX5AP"	0.16
"GSS"	"GSTM1"	0.329
"GSS"	"GCLM"	0.187
"SRMS"	"ILKAP"	0.095
"SRMS"	"PPP3CC"	0.115
"SRMS"	"CD79A"	0.063
"PQBP1"	"SF3A2"	0.121
"PQBP1"	"PCBP2"	0.116
"PQBP1"	"GTF2F1"	0.162
"PQBP1"	"POLR2L"	0.034
"PQBP1"	"LSM2"	0.128
"PQBP1"	"CPSF1"	0.118
"PQBP1"	"XAB2"	0.095
"PQBP1"	"CTNNBL1"	0.06
"PQBP1"	"PCBP1"	0.151
"PQBP1"	"LSM7"	0.132
"PQBP1"	"DNM2"	0.096
"PCSK1N"	"CPE"	0.111
"PCSK1N"	"UTS2R"	0
"USP11"	"MCM3AP"	NA
"USP11"	"RBM10"	0.047
"USP11"	"USP5"	0.385
"ACP5"	"CLCN7"	0.023
"ACP5"	"NES"	0.046
"ACP5"	"TNF"	0.041
"ACP5"	"CD207"	0.038
"ACP5"	"VANGL1"	0.046
"MT4"	"MT1X"	0.252
"MMP15"	"TNF"	0.104
"MMP15"	"HLA-G"	0.058
"TSC2"	"STK11"	0.133
"TSC2"	"HRAS"	0.069
"TSC2"	"EIF4EBP1"	0.074
"TSC2"	"AKT1"	0.167
"TSC2"	"CRTC2"	0.083
"TSC2"	"PLK1"	0.125
"TSC2"	"EEF2"	0.128
"TSC2"	"PI3"	0.089
"TSC2"	"CAMKK2"	0.068
"TSC2"	"PPP2R4"	NA
"TSC2"	"FKBP1C"	NA
"ZP2"	"ZP3"	0.266
"ZP2"	"FGF8"	0.094
"ZP2"	"ALX4"	0.031
"MAZ"	"HRAS"	0.11
"MAZ"	"AKT1"	0.07
"CSK"	"GNB1"	0.141
"CSK"	"HRAS"	0.179
"CSK"	"VWF"	0.137
"CSK"	"STAT3"	0.123
"CSK"	"HLA-DQA2"	0
"CSK"	"ARRB2"	0.123
"CSK"	"RHOG"	0.168
"CSK"	"ILKAP"	0.095
"CSK"	"PPP3CC"	0.111
"CSK"	"ACTN4"	0.094
"CSK"	"AKT1"	0.21
"CSK"	"ITGA2B"	0.129
"CSK"	"HLA-DRA"	0.057
"CSK"	"HCK"	0.214
"CSK"	"PPP2R4"	NA
"CSK"	"PLAUR"	0.094
"CSK"	"DNM2"	0.134
"CSK"	"CD79A"	0.129
"CSK"	"PORCN"	0.224
"CSK"	"ACTA1"	0.06
"CSK"	"HLA-DRB1"	0.034
"CTSH"	"BID"	0.028
"CTSH"	"HLA-DRB1"	0.015
"CTSH"	"HLA-DQA2"	0.298
"CTSH"	"HLA-DRA"	0.066
"PYCRL"	"PYCR2"	NA
"PYCRL"	"PRODH"	NA
"EXOSC5"	"RPL7"	0.053
"EXOSC5"	"RPL27A"	0.047
"EXOSC5"	"RPL11"	0.054
"EXOSC5"	"RPLP2"	0.048
"EXOSC5"	"RPS9"	0.04
"EXOSC5"	"RPS2"	0.063
"EXOSC5"	"RPL4"	0.047
"EXOSC5"	"RPL36AL"	0.095
"EXOSC5"	"RPL18"	0.023
"EXOSC5"	"RPL15"	0.055
"EXOSC5"	"RPL13A"	0.028
"EXOSC5"	"MPHOSPH6"	0.095
"EXOSC5"	"RPL41"	0.031
"EXOSC5"	"ZFP36L1"	0.047
"EXOSC5"	"RPLP0"	0.047
"EXOSC5"	"RPL35"	0.028
"EXOSC5"	"RPL30"	0.047
"EXOSC5"	"RPL14"	0.055
"EXOSC5"	"RPL32"	0.023
"EXOSC5"	"KHSRP"	0.056
"EXOSC5"	"KPNA6"	0.047
"EXOSC5"	"RPL8"	0.023
"EXOSC5"	"EXOSC7"	0.259
"EXOSC5"	"EXOSC3"	0.302
"EXOSC5"	"RPL10"	0.039
"EXOSC5"	"RPL37"	0.023
"EXOSC5"	"RPL37A"	0.047
"PAF1"	"GTF2F1"	0.168
"PAF1"	"POLR2L"	0.042
"PAF1"	"CSNK2B"	0.131
"PAF1"	"KLC2"	0.087
"PAF1"	"KIAA0101"	NA
"PAF1"	"GTF2H4"	0.042
"PAF1"	"IFIT2"	0.075
"RELB"	"NFKB2"	0.254
"RELB"	"PSMB4"	0.042
"RELB"	"PSME4"	0.047
"RELB"	"PSMA7"	0.047
"RELB"	"STAT3"	0.246
"RELB"	"TRAF5"	0.105
"RELB"	"TNF"	0.172
"RELB"	"NFKBIB"	0.124
"RELB"	"AKT1"	0.081
"RELB"	"ANXA5"	0.081
"RELB"	"DAXX"	0.172
"RELB"	"IRF3"	0.234
"RELB"	"CORT"	0.052
"SF3A2"	"RANGAP1"	0.136
"SF3A2"	"AGPAT1"	0.059
"SF3A2"	"LSM2"	0.19
"SF3A2"	"PCBP2"	0.158
"SF3A2"	"GTF2F1"	0.109
"SF3A2"	"POLR2L"	0.035
"SF3A2"	"RBM10"	0.169
"SF3A2"	"EEF2"	0.176
"SF3A2"	"CPSF1"	0.171
"SF3A2"	"EIF4G3"	0.245
"SF3A2"	"XAB2"	0.095
"SF3A2"	"CTNNBL1"	0.083
"SF3A2"	"LSM7"	0.209
"SF3A2"	"PCBP1"	0.192
"FSD1"	"SRF"	0.082
"FSD1"	"MYOG"	0.085
"FSD1"	"RPS2"	0.074
"CD79A"	"SELL"	0.068
"CD79A"	"SLC3A2"	0.059
"CD79A"	"IL13"	0.095
"CD79A"	"VWF"	0.148
"CD79A"	"IL7R"	0.055
"CD79A"	"CD7"	0
"CD79A"	"AKT1"	0.109
"CD79A"	"CXCR4"	0.061
"CD79A"	"UNG"	0.063
"CD79A"	"GGT1"	0.057
"CD79A"	"COX5A"	0.057
"CD79A"	"CD68"	NA
"CD79A"	"TNF"	0.135
"CD79A"	"VAV1"	0.071
"CD79A"	"SPN"	0.095
"CD79A"	"CD72"	0.076
"CD79A"	"HLA-DRB1"	0.046
"CD79A"	"TNFRSF13B"	0.071
"CD79A"	"CFP"	0.071
"CD79A"	"MGAM"	0
"CD79A"	"S100A8"	0.079
"CD79A"	"AMBP"	0.124
"CD79A"	"SOS1"	0.081
"LIM2"	"GJA8"	NA
"LIM2"	"FTL"	NA
"RABAC1"	"RAB5C"	0.066
"DBP"	"CEBPA"	0.216
"DBP"	"BATF"	0.27
"MLL4"	"HCFC1"	NA
"MLL4"	"HDAC3"	NA
"COMP"	"TNFRSF10C"	0
"COMP"	"UNG"	0.113
"COMP"	"HINT1"	0.099
"COMP"	"TYRO3"	0.054
"COMP"	"MICAL1"	0.118
"COMP"	"FOXM1"	0.086
"COMP"	"ITGA2B"	0.068
"COMP"	"NES"	0.361
"COMP"	"TH"	0.098
"COMP"	"ECE1"	0.106
"COMP"	"SH3GL1"	0.071
"COMP"	"MCL1"	0.067
"COMP"	"COL9A3"	0.17
"COMP"	"NDP"	0.075
"COMP"	"ZBTB32"	0.106
"COMP"	"RAB5C"	0.143
"COMP"	"TNIP1"	0.108
"COMP"	"AMBP"	0.099
"HAMP"	"GDF15"	NA
"HAMP"	"STAT3"	NA
"HAMP"	"TNF"	NA
"HAMP"	"FTL"	NA
"DLX5"	"FGF8"	0.017
"DLX5"	"MSX1"	0.152
"DLX5"	"WNT10B"	0.031
"MOSPD3"	"OSBPL1A"	NA
"MOSPD3"	"ISYNA1"	NA
"FIS1"	"RHOT2"	0.066
"FIS1"	"DNM2"	0.077
"FIS1"	"ZNHIT1"	0.085
"C8G"	"LCN1"	NA
"C8G"	"VTN"	NA
"ACTA2"	"MYL2"	0.095
"ACTA2"	"RASL10B"	NA
"ACTA2"	"EGR1"	0.28
"ACTA2"	"MYL6"	0.095
"ACTA2"	"TMSB4X"	0.28
"ACTA2"	"PRKCG"	0
"ACTA2"	"ANXA5"	0.414
"ACTA2"	"GSPT2"	0.095
"ACTA2"	"RHOG"	0.414
"ACTA2"	"DYNC1H1"	0.095
"ACTA2"	"EEF2"	0.414
"ACTA2"	"MYO18B"	NA
"ACTA2"	"ACTN4"	0.095
"ACTA2"	"TNNT2"	0.095
"ACTA2"	"HK3"	0
"ACTA2"	"RPL14"	0.095
"ACTA2"	"RPS23"	0.095
"ACTA2"	"CALML5"	0.046
"ACTA2"	"ARPC4"	0.28
"ACTA2"	"VWF"	0.28
"ACTA2"	"OBSCN"	0.28
"ACTA2"	"TUBB"	0.28
"ACTA2"	"SRF"	0.095
"ACTA2"	"DIRAS3"	0.095
"ACTA2"	"ARPC5"	0.095
"ACTA2"	"RPL18"	0.046
"ACTA2"	"AKT1"	0.28
"ACTA2"	"CDC25A"	0.414
"ACTA2"	"MYL3"	0.095
"ACTA2"	"PGK1"	0.095
"ACTA2"	"PLK1"	0.414
"ACTA2"	"CALB2"	0.046
"ACTA2"	"SMARCD3"	0.095
"ACTA2"	"TUBB2B"	0.095
"ACTA2"	"TNF"	0.28
"ACTA2"	"DIRAS2"	0.046
"ACTA2"	"DNAH11"	0.095
"ACTA2"	"HDAC3"	0.28
"ACTA2"	"DNM2"	0.28
"ACTA2"	"SP1"	0.28
"ACTA2"	"FAU"	0.046
"ACTA2"	"ARPC1B"	0.095
"ACTA2"	"MYO1A"	NA
"ACTA2"	"RHOBTB1"	0.414
"ACTA2"	"HRAS"	0.095
"ACTA2"	"GABARAP"	0.28
"ACTA2"	"CABP2"	0
"ACTA2"	"TPM2"	0.095
"ACTA2"	"ZNHIT1"	0.28
"WNT3"	"GBX2"	0
"WNT3"	"DHH"	0.079
"WNT3"	"MSX1"	0.076
"WNT3"	"AKT1"	0.086
"WNT3"	"TCF7"	0.061
"WNT3"	"EVX1"	0
"WNT3"	"PORCN"	0
"WNT3"	"WNT10B"	0.44
"WNT3"	"WNT11"	0.299
"WNT3"	"FGF8"	0.11
"PIGL"	"MSX1"	0
"PIGL"	"GYS1"	0.142
"VTN"	"TNF"	0.133
"VTN"	"PLAUR"	0.105
"VTN"	"SPARC"	0.143
"VTN"	"PF4"	0.156
"VTN"	"AMBP"	0.11
"VTN"	"VWF"	0.27
"VTN"	"AKT1"	0.05
"VTN"	"ITGA2B"	0.076
"FRG1"	"TNNT3"	0.211
"SPI1"	"QRSL1"	0.047
"SPI1"	"TAL1"	0.285
"SPI1"	"GATA2"	0.296
"SPI1"	"CSF3R"	0.047
"SPI1"	"STAT3"	0.266
"SPI1"	"STAT5A"	0.144
"SPI1"	"IL7R"	0.043
"SPI1"	"SRF"	0.286
"SPI1"	"MCM3AP"	NA
"SPI1"	"IRF2"	0.236
"SPI1"	"NDRG2"	0.095
"SPI1"	"CEBPA"	0.276
"SPI1"	"IL32"	0.095
"SPI1"	"SDHC"	0.06
"SPI1"	"CD53"	0.095
"SPI1"	"PRAM1"	0.057
"SPI1"	"NONO"	0.26
"SPI1"	"CLPP"	0.047
"SPI1"	"HCK"	0.051
"SPI1"	"CD68"	NA
"SPI1"	"TNF"	0.151
"SPI1"	"VAV1"	0.124
"SPI1"	"HDAC3"	0.119
"SPI1"	"NPM1"	0.174
"SPI1"	"ZFPM1"	0.321
"MYL2"	"MYL6"	0.193
"MYL2"	"TCAP"	0.257
"MYL2"	"MYO18B"	NA
"MYL2"	"PPP3CC"	0.065
"MYL2"	"TNNT2"	0.275
"MYL2"	"ACTA1"	0.312
"MYL2"	"TPM2"	0.31
"MYL2"	"OBSCN"	0.286
"MYL2"	"MIB2"	0.061
"MYL2"	"AKT1"	0.086
"MYL2"	"PLK1"	0.146
"MYL2"	"MYL3"	0.544
"MYL2"	"CAMK2A"	0.06
"MYL2"	"TNNI1"	0.095
"MYL2"	"TBX5"	0.055
"MYL2"	"TNNI2"	0.228
"MYL2"	"TNNT3"	0.261
"UNC93A"	"KCNK9"	NA
"UNC93A"	"KCNK3"	NA
"HARS2"	"MARS"	0.589
"HARS2"	"PEPD"	0.102
"SPARC"	"VWF"	0.193
"SPARC"	"VEGFB"	0.08
"SPARC"	"ACTN4"	0.119
"SPARC"	"TMSB4X"	0.071
"SPARC"	"STAB1"	0.111
"SPARC"	"PF4"	0.109
"HAND1"	"SLC25A23"	0.051
"HAND1"	"IRX4"	0.258
"IRX4"	"TBX5"	0.258
"NCK2"	"TNK2"	0.068
"NCK2"	"CRK"	0.324
"NCK2"	"EPHB3"	0
"NCK2"	"GIT1"	0.095
"NCK2"	"ARPC1B"	0.229
"NCK2"	"SOS1"	0.086
"NCK2"	"FYB"	NA
"NCK2"	"ARPC5"	0.229
"NDUFS7"	"UQCRC2"	0.126
"NDUFS7"	"RPL11"	0.042
"NDUFS7"	"ACAD9"	0.24
"NDUFS7"	"NDUFB11"	0.095
"NDUFS7"	"SDHC"	0.218
"NDUFS7"	"ATP5G1"	NA
"NDUFS7"	"NDUFA3"	0.644
"NDUFS7"	"NDUFB10"	0.453
"NDUFS7"	"NDUFV1"	0.644
"NDUFS7"	"RHOT2"	0.115
"COX7A2L"	"HINT1"	NA
"COX7A2L"	"COX5A"	NA
"COX7A2L"	"COX7C"	NA
"GRIN3B"	"GRIK5"	0.305
"TPSG1"	"IL13"	0
"RGS2"	"PRKCG"	0
"RGS2"	"TRIM47"	0
"RGS2"	"GNAI2"	0.063
"SELL"	"CD7"	0
"SELL"	"AKT1"	0.151
"SELL"	"ANXA5"	0.207
"SELL"	"ITGA2B"	0.068
"SELL"	"CXCR4"	0.077
"SELL"	"LAMP1"	0.109
"SELL"	"IL6R"	0.087
"SELL"	"TNF"	0.137
"SELL"	"MSN"	0.107
"SELL"	"SPN"	0.068
"SELL"	"NTAN1"	0
"SELL"	"STAT3"	0.08
"SELL"	"ELF4"	0.051
"SELL"	"IL13"	0.095
"SELL"	"VWF"	0.124
"SELL"	"STAT5A"	0.047
"SELL"	"IL7R"	0.051
"GLRX"	"AKT1"	0.098
"GLRX"	"TXNRD2"	0.414
"GLRX"	"MARS"	0.142
"GLRX"	"EEF1G"	0.057
"GLRX"	"RRM2"	0.231
"EGR1"	"IRF2"	0.24
"EGR1"	"IRF7"	0.24
"EGR1"	"CDKN1C"	0.047
"EGR1"	"SDHC"	0.092
"EGR1"	"DAXX"	0.09
"EGR1"	"ALOX5AP"	0.061
"EGR1"	"BST2"	0.118
"EGR1"	"LHX2"	0.258
"EGR1"	"HRAS"	0.123
"EGR1"	"PITX1"	0.237
"EGR1"	"GDF15"	0.059
"EGR1"	"SOCS1"	0.067
"EGR1"	"ADAR"	0.119
"EGR1"	"IER2"	0.242
"EGR1"	"HSPB1"	0.14
"EGR1"	"CAMK2A"	0.068
"EGR1"	"NR5A1"	0.282
"EGR1"	"TNF"	0.206
"EGR1"	"SP1"	0.234
"EGR1"	"HLA-G"	0.058
"EGR1"	"IRF3"	0.215
"EGR1"	"IFIT2"	0.129
"EGR1"	"GATA2"	0.259
"EGR1"	"IFITM1"	0.095
"EGR1"	"STAT3"	0.249
"EGR1"	"SRF"	0.242
"EGR1"	"AKT1"	0.117
"PPP3CC"	"CALB2"	0.046
"PPP3CC"	"PLCB2"	0.232
"PPP3CC"	"CALML5"	0.028
"PPP3CC"	"PPP2R5A"	0.165
"PPP3CC"	"AKT1"	0.095
"PPP3CC"	"MYL3"	0.063
"PPP3CC"	"LIMK2"	0.114
"PPP3CC"	"PLCB3"	0.311
"PPP3CC"	"CAMK2A"	0.179
"PPP3CC"	"PIP5K1C"	0.122
"PPP3CC"	"HCK"	0.113
"PPP3CC"	"BAD"	0.063
"PPP3CC"	"KCNIP2"	0.052
"PPP3CC"	"PPP2R4"	NA
"PPP3CC"	"MEF2D"	0.047
"PPP3CC"	"NFATC4"	0.043
"PPP3CC"	"ANAPC2"	0.095
"PPP3CC"	"PPP1R1B"	0.036
"PPP3CC"	"EPHB3"	0.089
"PPP3CC"	"BIN2"	0.066
"PPP3CC"	"RIPK1"	0.107
"PPP3CC"	"CABP2"	0
"PPP3CC"	"FKBP1C"	NA
"PPP3CC"	"STK11"	0.084
"PPP3CC"	"PIM2"	0.114
"PPP3CC"	"TYRO3"	0.1
"PPP3CC"	"AP2A1"	0.081
"PPP3CC"	"MYL6"	0.137
"PPP3CC"	"PRKCG"	0.107
"PPP3CC"	"CRTC2"	0.076
"GJA8"	"CACNA1H"	0.361
"MYOG"	"SRF"	0.306
"MYOG"	"AKT1"	0.097
"MYOG"	"PRMT5"	0.184
"MYOG"	"NES"	0.046
"MYOG"	"DYRK1B"	0.037
"MYOG"	"TNF"	0.174
"MYOG"	"MEF2D"	0.307
"MYOG"	"SP1"	0.268
"MYOG"	"CTF1"	0.047
"NPY"	"GNB1"	0.062
"NPY"	"FFAR2"	0.15
"NPY"	"ACHE"	0.047
"NPY"	"STAT3"	0.058
"NPY"	"NPW"	0.095
"NPY"	"GNB2"	0.062
"NPY"	"PNMT"	0
"NPY"	"ADCY1"	0
"NPY"	"GNAI2"	0.191
"NPY"	"DBH"	0.023
"NPY"	"CXCR4"	0.175
"NPY"	"CALB2"	0.046
"NPY"	"CORT"	0.41
"NPY"	"GRM4"	0.128
"NPY"	"ASIP"	0.285
"NPY"	"HTR3A"	0.108
"NPY"	"TH"	0.063
"NPY"	"TNF"	0.202
"NPY"	"CD63"	0.095
"NPY"	"PF4"	0.291
"CNTFR"	"IL13"	0.095
"CNTFR"	"STAT3"	0.058
"CNTFR"	"CTF1"	0.142
"CNTFR"	"IL6R"	0.426
"UNG"	"APEX2"	0.117
"UNG"	"GGT1"	0.125
"UNG"	"SH3GL1"	0.067
"UNG"	"CDA"	0.131
"UNG"	"MCL1"	0.063
"UNG"	"RRM2"	0.094
"SEC61A1"	"EEF2"	0.063
"SEC61A1"	"RPL7"	0.051
"SEC61A1"	"PCSK4"	0.095
"SEC61A1"	"RPS21"	0.047
"SEC61A1"	"UQCRC2"	0.047
"SEC61A1"	"RPL27A"	0.047
"SEC61A1"	"RPL11"	0.052
"SEC61A1"	"MRPL16"	0.031
"SEC61A1"	"RPLP2"	0.047
"SEC61A1"	"RPS9"	0.042
"SEC61A1"	"RPS2"	0.06
"SEC61A1"	"RPL10"	0.041
"SEC61A1"	"RPL37"	0.031
"SEC61A1"	"RPL37A"	0.047
"SEC61A1"	"MRPS12"	0.047
"SEC61A1"	"RPL41"	0.034
"SEC61A1"	"DYRK1B"	0.04
"SEC61A1"	"UFD1L"	NA
"SEC61A1"	"RPLP0"	0.047
"SEC61A1"	"RPL30"	0.047
"SEC61A1"	"RPL14"	0.053
"SEC61A1"	"SURF4"	0.095
"SEC61A1"	"RPL35"	0.033
"SEC61A1"	"RPS23"	0.047
"SEC61A1"	"RPL32"	0.031
"SEC61A1"	"TNF"	0.069
"SEC61A1"	"ASNA1"	0.142
"SEC61A1"	"RPL8"	0.031
"SEC61A1"	"RPL4"	0.047
"SEC61A1"	"DDOST"	0.04
"SEC61A1"	"OS9"	0.095
"SEC61A1"	"MRPL17"	0.047
"SEC61A1"	"RPL36AL"	0.095
"SEC61A1"	"RPL18"	0.031
"SEC61A1"	"RPL15"	0.053
"SEC61A1"	"RPL13A"	0.033
"SEC61A1"	"RPN1"	0.047
"CHPF"	"B3GAT3"	0.407
"CHPF"	"EXT2"	0.425
"PI3"	"TYRO3"	0
"PI3"	"STAT5A"	0
"PI3"	"EIF4EBP1"	0
"PI3"	"ANXA5"	0.081
"PI3"	"SH3GL1"	0
"PI3"	"CTNNBL1"	0
"PI3"	"SERPINB5"	0.255
"PI3"	"ZFYVE1"	0
"PI3"	"MCL1"	0
"PI3"	"ALOX5AP"	0
"PI3"	"HRAS"	0
"PI3"	"STAT3"	0
"PI3"	"WDTC1"	0
"PI3"	"AKT1"	0.047
"PI3"	"TNF"	0.064
"PEPD"	"EIF5A"	0.06
"PEPD"	"CNDP2"	0.626
"PEPD"	"SARDH"	0.107
"TREM1"	"TNF"	0.095
"TREM1"	"KIR2DL1"	0.095
"CLPP"	"MDH2"	0.094
"THOC2"	"MCM3AP"	NA
"THOC2"	"CPSF1"	0.231
"THOC2"	"NR5A1"	0.107
"THOC2"	"THOC6"	NA
"THOC2"	"POM121"	0.056
"THOC2"	"NUP210"	NA
"RTN2"	"CSAD"	NA
"SLURP1"	"LY6H"	0.401
"FFAR2"	"PROK2"	0.095
"FFAR2"	"GNAI2"	0.054
"FFAR2"	"ADRBK1"	NA
"FFAR2"	"P2RY11"	0.258
"FFAR2"	"PLCB2"	0
"FFAR2"	"GNB1"	0.055
"FFAR2"	"PLCB3"	0.054
"FFAR2"	"UTS2R"	0.291
"FFAR2"	"GNB2"	0.055
"CFP"	"THSD1"	NA
"CFP"	"ADAMTS13"	0.154
"CFP"	"ADAMTS4"	0.256
"CFP"	"FCN1"	0.187
"CFP"	"ADAMTSL2"	0.095
"COX7C"	"HCFC1"	0.142
"COX7C"	"RPL37A"	0
"COX7C"	"HINT1"	0.142
"COX7C"	"RPS21"	0
"COX7C"	"UQCRC2"	0.142
"COX7C"	"RPL11"	0
"COX7C"	"UQCRQ"	0.561
"COX7C"	"COX5A"	0.676
"COX7C"	"RPL30"	0
"COX7C"	"RPL35"	0
"COX7C"	"UBL5"	0
"COX7C"	"FAU"	0
"COX7C"	"TBCA"	0
"HSPB1"	"STAT3"	0.188
"HSPB1"	"AKT1"	0.178
